id,split,scene,frame,k0_point_rel,k0_depth_rel,k0_depth_delta_1.01,k0_depth_delta_1.25,k0_alignment_scale,k0_alignment_z_shift,k0_boundary_f1,k1_point_rel,k1_depth_rel,k1_depth_delta_1.01,k1_depth_delta_1.25,k1_alignment_scale,k1_alignment_z_shift,k1_boundary_f1,k3_point_rel,k3_depth_rel,k3_depth_delta_1.01,k3_depth_delta_1.25,k3_alignment_scale,k3_alignment_z_shift,k3_boundary_f1,k5_point_rel,k5_depth_rel,k5_depth_delta_1.01,k5_depth_delta_1.25,k5_alignment_scale,k5_alignment_z_shift,k5_boundary_f1,k0_crop_point_rel,k0_crop_depth_rel,k0_crop_depth_delta_1.01,k0_crop_depth_delta_1.25,k0_crop_boundary_f1,k0_structure_point_rel,k0_structure_depth_rel,k0_structure_depth_delta_1.01,k0_structure_depth_delta_1.25,k0_structure_boundary_f1,k1_crop_point_rel,k1_crop_depth_rel,k1_crop_depth_delta_1.01,k1_crop_depth_delta_1.25,k1_crop_boundary_f1,k1_structure_point_rel,k1_structure_depth_rel,k1_structure_depth_delta_1.01,k1_structure_depth_delta_1.25,k1_structure_boundary_f1,k3_crop_point_rel,k3_crop_depth_rel,k3_crop_depth_delta_1.01,k3_crop_depth_delta_1.25,k3_crop_boundary_f1,k3_structure_point_rel,k3_structure_depth_rel,k3_structure_depth_delta_1.01,k3_structure_depth_delta_1.25,k3_structure_boundary_f1,k5_crop_point_rel,k5_crop_depth_rel,k5_crop_depth_delta_1.01,k5_crop_depth_delta_1.25,k5_crop_boundary_f1,k5_structure_point_rel,k5_structure_depth_rel,k5_structure_depth_delta_1.01,k5_structure_depth_delta_1.25,k5_structure_boundary_f1
ai_001_001_cam_00_frame.0000,train,ai_001_001,0,0.01522371731698513,0.013456052169203758,0.5281575918197632,0.9998626708984375,2.3736095428466797,0.021538257598876953,0.8559734225273132,0.010246111080050468,0.00898721069097519,0.7298685908317566,0.9998270869255066,2.4192183017730713,0.014049053192138672,0.8487208485603333,0.008200845681130886,0.006954430602490902,0.8055216670036316,0.9996337890625,2.5005810260772705,0.02183246612548828,0.8375176787376404,0.013255024328827858,0.011554907076060772,0.567626953125,0.9981943964958191,2.585705518722534,0.026821613311767578,0.828210711479187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0014,train,ai_001_001,14,0.007406966295093298,0.006354046519845724,0.8639119863510132,0.9989420771598816,2.083019733428955,-0.015416383743286133,0.8915066719055176,0.006488849874585867,0.005423680879175663,0.9147084951400757,0.9990743398666382,2.108813524246216,-0.014946937561035156,0.9023281335830688,0.006743136793375015,0.005511901341378689,0.9127248525619507,0.9990743398666382,2.161860466003418,-0.01710689067840576,0.9117999076843262,0.008332505822181702,0.006916882004588842,0.8156382441520691,0.9990692138671875,2.2175512313842773,-0.0180814266204834,0.9166566729545593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0028,train,ai_001_001,28,0.007227622903883457,0.006196937523782253,0.8675588369369507,0.9999135732650757,2.2577879428863525,0.018069982528686523,0.9231319427490234,0.00466556241735816,0.0038044906686991453,0.9249369502067566,0.9998931884765625,2.2826216220855713,0.018455982208251953,0.9134312272071838,0.005343087017536163,0.004830028861761093,0.9476522207260132,0.9998983144760132,2.3321382999420166,0.022825002670288086,0.9088291525840759,0.009258187375962734,0.008487197570502758,0.6793314814567566,0.9998576045036316,2.379335403442383,0.021941423416137695,0.8862945437431335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0043,train,ai_001_001,43,0.005640452262014151,0.004733633249998093,0.9312490224838257,0.9999542236328125,1.9568322896957397,0.006209611892700195,0.9146891236305237,0.004285894334316254,0.00357871875166893,0.9654337763786316,0.9999593496322632,1.9764574766159058,0.007053375244140625,0.9200597405433655,0.004439687356352806,0.003945167176425457,0.9458516836166382,0.999969482421875,2.0150206089019775,0.007664680480957031,0.9357181191444397,0.006730237510055304,0.006145750172436237,0.8490957021713257,0.9999491572380066,2.054713249206543,0.00940251350402832,0.942799985408783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0056,train,ai_001_001,56,0.007254482246935368,0.006276533007621765,0.8538360595703125,0.9998983144760132,1.7262545824050903,0.013443708419799805,0.8863892555236816,0.004801054485142231,0.004111436195671558,0.9305877685546875,0.9999288320541382,1.745869755744934,0.012640714645385742,0.8965145349502563,0.003627629019320011,0.003138431115075946,0.956207275390625,0.9999593496322632,1.7879393100738525,0.011507034301757812,0.911956250667572,0.005369422025978565,0.00478637870401144,0.8975270986557007,0.9999746084213257,1.8309910297393799,0.011908292770385742,0.90524822473526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0071,train,ai_001_001,71,0.012962657026946545,0.0103939613327384,0.6300557851791382,0.9996592402458191,1.6760295629501343,0.03303730487823486,0.8942667245864868,0.009511366486549377,0.007519706152379513,0.7765655517578125,0.9996541738510132,1.705200433731079,0.026378631591796875,0.8834717273712158,0.006740056909620762,0.0057715377770364285,0.8561045527458191,0.9996541738510132,1.7638695240020752,0.013083219528198242,0.876662015914917,0.008764266036450863,0.00793132558465004,0.7186533808708191,0.9996490478515625,1.815262794494629,0.010630130767822266,0.8620122671127319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0085,train,ai_001_001,85,0.009450316429138184,0.008299390785396099,0.8029937744140625,0.9995321035385132,2.182831287384033,0.016594886779785156,0.9125909209251404,0.006158947478979826,0.005363816395401955,0.8947194814682007,0.999481201171875,2.208975315093994,0.01849675178527832,0.9155636429786682,0.0062088919803500175,0.005572943948209286,0.9175771474838257,0.9994303584098816,2.264104127883911,0.018816471099853516,0.9126169085502625,0.0089859738945961,0.00808320939540863,0.8003641963005066,0.999359130859375,2.318927764892578,0.019918203353881836,0.9013887643814087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0099,train,ai_001_001,99,0.01969228871166706,0.015166748315095901,0.6395670771598816,0.9931539297103882,2.2728357315063477,-0.08226585388183594,0.9328133463859558,0.01344791054725647,0.009661378338932991,0.8329264521598816,0.9966176748275757,2.2953336238861084,-0.07122540473937988,0.9353392720222473,0.013580059632658958,0.011391164734959602,0.760467529296875,0.9919688105583191,2.3373711109161377,-0.03774714469909668,0.8823729157447815,0.020218823105096817,0.017826788127422333,0.5195567011833191,0.9889577627182007,2.3936641216278076,-0.02745652198791504,0.8589783906936646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_018_003_cam_00_frame.0000,train,ai_018_003,0,0.018274221569299698,0.01596863381564617,0.4231465756893158,0.9953664541244507,3.451026678085327,-0.007589101791381836,0.8942792415618896,0.014726141467690468,0.012781769037246704,0.5892893671989441,0.9953562617301941,3.4987306594848633,0.0007631778717041016,0.8952687382698059,0.012197457253932953,0.010444371961057186,0.7667388916015625,0.995391845703125,3.596925973892212,0.008926153182983398,0.8936643600463867,0.01455457042902708,0.012618868611752987,0.6541646718978882,0.9954274892807007,3.696021318435669,0.01823139190673828,0.8895828127861023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_018_003_cam_00_frame.0014,train,ai_018_003,14,0.01723598502576351,0.015217721462249756,0.5014292597770691,0.9962056875228882,3.4660704135894775,0.037470102310180664,0.8369064927101135,0.014926228672266006,0.012903571128845215,0.5853118896484375,0.9962209463119507,3.505890130996704,0.035419464111328125,0.8378567695617676,0.013244451954960823,0.01100919209420681,0.673858642578125,0.9963023066520691,3.598443031311035,0.02771627902984619,0.835914671421051,0.016438620164990425,0.014302505180239677,0.5244547724723816,0.99249267578125,3.690683603286743,0.016949772834777832,0.8129577040672302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
