id,split,scene,frame,selection_mode,selection_score,crop_x0,crop_y0,crop_x1,crop_y1,fine_pixels,k0_point_rel,k3_point_rel,k0_depth_rel,k3_depth_rel,point_rel_reduction,depth_rel_reduction
ai_055_003_cam_00_frame.0013,val,ai_055_003,13,structure,36722.0,96,96,288,288,36722,0.12723247706890106,0.1284751147031784,0.12347047030925751,0.1244688481092453,-0.009766670137251188,-0.008085964178213167
ai_046_001_cam_00_frame.0079,test,ai_046_001,79,structure,36864.0,192,0,384,192,36864,0.11109772324562073,0.11742392927408218,0.10685686022043228,0.11217281222343445,-0.056942715328874405,-0.04974834551601104
