order,id,scene,frame,description,crop_xyxy,display_mask_pixels,k0_point_rel,k3_point_rel,point_rel_delta,k0_depth_rel,k3_depth_rel,depth_rel_delta,gif,preview
1,ai_019_004_cam_00_frame.0000,ai_019_004,0,楼梯扶手与平行栏杆,192 160 384 352,18432,0.12166777998209,0.0676284208893776,-0.0540393590927124,0.11833105981349945,0.06515556573867798,-0.05317549407482147,items/01_ai_019_004_cam_00_frame.0000/train_rod_orbit.gif,items/01_ai_019_004_cam_00_frame.0000/train_rod_preview.png
2,ai_052_008_cam_01_frame.0099,ai_052_008,99,桌腿与椅子细支撑,32 192 224 384,18432,0.03563186526298523,0.019763043150305748,-0.01586882211267948,0.034359410405159,0.014397919178009033,-0.019961491227149963,items/02_ai_052_008_cam_01_frame.0099/train_rod_orbit.gif,items/02_ai_052_008_cam_01_frame.0099/train_rod_preview.png
3,ai_026_013_cam_00_frame.0000,ai_026_013,0,放射状屋顶细梁,192 0 384 192,18432,0.07692733407020569,0.056903257966041565,-0.020024076104164124,0.0729784443974495,0.04944178834557533,-0.02353665605187416,items/03_ai_026_013_cam_00_frame.0000/train_rod_orbit.gif,items/03_ai_026_013_cam_00_frame.0000/train_rod_preview.png
4,ai_054_008_cam_00_frame.0000,ai_054_008,0,悬空楼梯踏板与支架,192 192 384 384,18413,0.06855541467666626,0.03353731706738472,-0.03501809760928154,0.064018115401268,0.02938748151063919,-0.034630633890628815,items/04_ai_054_008_cam_00_frame.0000/train_rod_orbit.gif,items/04_ai_054_008_cam_00_frame.0000/train_rod_preview.png
5,ai_053_018_cam_00_frame.0000,ai_053_018,0,密集竖直隔断杆,320 64 512 256,18429,0.1906721591949463,0.0735623687505722,-0.11710979044437408,0.17074809968471527,0.06529790163040161,-0.10545019805431366,items/05_ai_053_018_cam_00_frame.0000/train_rod_orbit.gif,items/05_ai_053_018_cam_00_frame.0000/train_rod_preview.png
6,ai_002_003_cam_00_frame.0000,ai_002_003,0,楼梯栏杆与斜向扶手,128 32 320 224,18432,0.08064334094524384,0.05457243323326111,-0.026070907711982727,0.07915402948856354,0.053439464420080185,-0.025714565068483353,items/06_ai_002_003_cam_00_frame.0000/train_rod_orbit.gif,items/06_ai_002_003_cam_00_frame.0000/train_rod_preview.png
7,ai_019_004_cam_00_frame.0099,ai_019_004,99,玻璃楼梯细拉杆,0 96 192 288,18432,0.21668797731399536,0.176730677485466,-0.03995729982852936,0.20031823217868805,0.15786099433898926,-0.04245723783969879,items/07_ai_019_004_cam_00_frame.0099/train_rod_orbit.gif,items/07_ai_019_004_cam_00_frame.0099/train_rod_preview.png
8,ai_009_001_cam_00_frame.0099,ai_009_001,99,装饰性细柱与弯曲格栅,32 32 224 224,17669,0.037798039615154266,0.019105488434433937,-0.01869255118072033,0.03514548018574715,0.016301043331623077,-0.01884443685412407,items/08_ai_009_001_cam_00_frame.0099/train_rod_orbit.gif,items/08_ai_009_001_cam_00_frame.0099/train_rod_preview.png
