id,split,scene,frame,k0_point_rel,k0_depth_rel,k0_depth_delta_1.01,k0_depth_delta_1.25,k0_alignment_scale,k0_alignment_z_shift,k0_boundary_f1,k1_point_rel,k1_depth_rel,k1_depth_delta_1.01,k1_depth_delta_1.25,k1_alignment_scale,k1_alignment_z_shift,k1_boundary_f1,k3_point_rel,k3_depth_rel,k3_depth_delta_1.01,k3_depth_delta_1.25,k3_alignment_scale,k3_alignment_z_shift,k3_boundary_f1,k5_point_rel,k5_depth_rel,k5_depth_delta_1.01,k5_depth_delta_1.25,k5_alignment_scale,k5_alignment_z_shift,k5_boundary_f1,k0_crop_point_rel,k0_crop_depth_rel,k0_crop_depth_delta_1.01,k0_crop_depth_delta_1.25,k0_crop_boundary_f1,k0_structure_point_rel,k0_structure_depth_rel,k0_structure_depth_delta_1.01,k0_structure_depth_delta_1.25,k0_structure_boundary_f1,k1_crop_point_rel,k1_crop_depth_rel,k1_crop_depth_delta_1.01,k1_crop_depth_delta_1.25,k1_crop_boundary_f1,k1_structure_point_rel,k1_structure_depth_rel,k1_structure_depth_delta_1.01,k1_structure_depth_delta_1.25,k1_structure_boundary_f1,k3_crop_point_rel,k3_crop_depth_rel,k3_crop_depth_delta_1.01,k3_crop_depth_delta_1.25,k3_crop_boundary_f1,k3_structure_point_rel,k3_structure_depth_rel,k3_structure_depth_delta_1.01,k3_structure_depth_delta_1.25,k3_structure_boundary_f1,k5_crop_point_rel,k5_crop_depth_rel,k5_crop_depth_delta_1.01,k5_crop_depth_delta_1.25,k5_crop_boundary_f1,k5_structure_point_rel,k5_structure_depth_rel,k5_structure_depth_delta_1.01,k5_structure_depth_delta_1.25,k5_structure_boundary_f1
ai_001_001_cam_00_frame.0000,train,ai_001_001,0,0.015143867582082748,0.013398188166320324,0.5213216543197632,0.9998626708984375,2.375182867050171,0.020506858825683594,0.8539453148841858,0.011123863980174065,0.00976680126041174,0.7210947871208191,0.9998525381088257,2.4287948608398438,0.010557174682617188,0.8463959693908691,0.008686136454343796,0.007242962252348661,0.8233744502067566,0.9997457265853882,2.52860951423645,0.013898372650146484,0.8344640135765076,0.011894956231117249,0.01004442386329174,0.7523244619369507,0.9996541738510132,2.6289877891540527,0.01841568946838379,0.8262643218040466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0014,train,ai_001_001,14,0.007504054345190525,0.006356716156005859,0.8680318593978882,0.9989522695541382,2.084052562713623,-0.01754581928253174,0.8891149163246155,0.0073556797578930855,0.006230359431356192,0.8671366572380066,0.998992919921875,2.1239030361175537,-0.01334989070892334,0.8871779441833496,0.008805827237665653,0.007514520548284054,0.7521464228630066,0.999053955078125,2.206806182861328,-0.008166193962097168,0.8953018188476562,0.011789228767156601,0.010183097794651985,0.6373138427734375,0.9989980459213257,2.2930402755737305,-0.0032378435134887695,0.9028119444847107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0028,train,ai_001_001,28,0.007128773257136345,0.00609563197940588,0.8666433095932007,0.9999186396598816,2.2590043544769287,0.015695571899414062,0.9221713542938232,0.006252998020499945,0.005270295776426792,0.9082082509994507,0.9993693232536316,2.2997779846191406,0.018805742263793945,0.9244166612625122,0.006105679087340832,0.005132682155817747,0.9357808828353882,0.9990590810775757,2.3859832286834717,0.021601200103759766,0.9109651446342468,0.007777253165841103,0.006719496101140976,0.84454345703125,0.9989420771598816,2.4777467250823975,0.01969599723815918,0.8965438604354858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0043,train,ai_001_001,43,0.005710942670702934,0.004800293128937483,0.9289398193359375,0.9999542236328125,1.9568144083023071,0.0058858394622802734,0.9122350811958313,0.00573772843927145,0.00492333248257637,0.9511464834213257,0.9999542236328125,1.9900646209716797,0.007097482681274414,0.9228696823120117,0.007127153687179089,0.006306909024715424,0.7981008291244507,0.9999542236328125,2.060652256011963,0.009463071823120117,0.9333376288414001,0.009312085807323456,0.008348395116627216,0.688385009765625,0.9999491572380066,2.13561749458313,0.011164188385009766,0.9229519367218018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0056,train,ai_001_001,56,0.007214350625872612,0.00622177217155695,0.8363749384880066,0.9998983144760132,1.7264277935028076,0.013072729110717773,0.8851439952850342,0.0055945441126823425,0.004752469714730978,0.8958892822265625,0.9999237060546875,1.759656548500061,0.013462424278259277,0.9023652672767639,0.008853187784552574,0.007730541750788689,0.7422027587890625,0.999908447265625,1.828543782234192,0.01911449432373047,0.9146578907966614,0.013447216711938381,0.011964486911892891,0.4936320185661316,0.9998931884765625,1.898416519165039,0.022523164749145508,0.9091331362724304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0071,train,ai_001_001,71,0.012856538407504559,0.010379180312156677,0.63043212890625,0.9996592402458191,1.67726731300354,0.03162384033203125,0.8932819962501526,0.009285027161240578,0.007603578269481659,0.736175537109375,0.9996541738510132,1.7190192937850952,0.0222625732421875,0.8881796598434448,0.009523073211312294,0.00861610658466816,0.7375742793083191,0.9996389150619507,1.801467776298523,0.010766267776489258,0.8511651158332825,0.013694941066205502,0.012570138089358807,0.5308278799057007,0.9995626211166382,1.876484990119934,0.010103821754455566,0.82766193151474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0085,train,ai_001_001,85,0.009475240483880043,0.008315414190292358,0.8034108877182007,0.9995371699333191,2.1834757328033447,0.015693187713623047,0.9118930697441101,0.007469343952834606,0.0065139345824718475,0.8538259267807007,0.9994863271713257,2.224400520324707,0.016964077949523926,0.9121456146240234,0.006842014845460653,0.006009147968143225,0.8727163076400757,0.9994150996208191,2.3126378059387207,0.01581549644470215,0.9098418354988098,0.008260641247034073,0.007334635592997074,0.7967681884765625,0.999298095703125,2.406572103500366,0.015565872192382812,0.8904328942298889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0099,train,ai_001_001,99,0.020020918920636177,0.015412375330924988,0.6312001943588257,0.9931742548942566,2.2747349739074707,-0.08388185501098633,0.9309347867965698,0.01704074814915657,0.01236104965209961,0.7191264033317566,0.9964498281478882,2.313149929046631,-0.08290243148803711,0.934673547744751,0.014500717632472515,0.010073632933199406,0.7874959707260132,0.9967041015625,2.39031720161438,-0.07111167907714844,0.9354151487350464,0.01493585854768753,0.011295685544610023,0.7276510000228882,0.9967448115348816,2.465066432952881,-0.05670332908630371,0.9094352126121521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_018_003_cam_00_frame.0000,train,ai_018_003,0,0.018509577959775925,0.016101842746138573,0.41455078125,0.9954122304916382,3.4547247886657715,-0.011181354522705078,0.893461287021637,0.016316842287778854,0.013972627930343151,0.4941914975643158,0.9954376220703125,3.5183887481689453,-0.007947802543640137,0.893043577671051,0.015364374034106731,0.013286352157592773,0.5419057607650757,0.9954274892807007,3.638761520385742,0.0053293704986572266,0.8891704678535461,0.020793642848730087,0.018660038709640503,0.44537353515625,0.9889170527458191,3.757564067840576,0.025840282440185547,0.8572641611099243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_018_003_cam_00_frame.0014,train,ai_018_003,14,0.017119091004133224,0.015187214128673077,0.5063883662223816,0.9961649775505066,3.469848155975342,0.03492450714111328,0.8305282592773438,0.01576061174273491,0.013568349182605743,0.5467376708984375,0.9963887929916382,3.522453784942627,0.04248690605163574,0.8282244801521301,0.01879757083952427,0.01563101075589657,0.591766357421875,0.98992919921875,3.636461019515991,0.054872751235961914,0.7935574054718018,0.022816617041826248,0.018628932535648346,0.5434774160385132,0.988555908203125,3.7628047466278076,0.06454074382781982,0.7773826122283936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
