step,stage,loss,grad_norm,lr_ssr,lr_heads,lr_backbone,base/k1/edge,base/k1/global,base/k1/local,refined/k1/edge,refined/k1/global,refined/k1/local,refined/k2/edge,refined/k2/global,refined/k2/local,refined/k3/edge,refined/k3/global,refined/k3/local,ssr_max_abs_log_depth_residual,ssr_max_depth_span
1,detached_warmup,0.03790540620684624,0.8786433935165405,2e-05,1e-06,0.0,0.0002830674930009991,0.0053781813476234674,0.0037381345173344016,0.0002830674930009991,0.0053781813476234674,0.00408571888692677,0.0002830674930009991,0.0053781813476234674,0.003797326353378594,0.0002830674930009991,0.0053781813476234674,0.0036392315523698926,0.0,297.0
2,detached_warmup,0.030018040910363197,0.7724793553352356,2e-05,1e-06,0.0,0.0002612459284137003,0.003993806662037969,0.0032392481807619333,0.0002621555104269646,0.003991214442066848,0.0032882565865293145,0.00026477583742234856,0.003988708835095167,0.0031487155938521028,0.0002688310923986137,0.003986271098256111,0.003324811812490225,0.00016438303282484412,209.0
3,detached_warmup,0.03135371580719948,0.7657429575920105,2e-05,1e-06,0.0,0.0002814596227835864,0.004046636167913675,0.003600294003263116,0.00028329447377473116,0.004035955760627985,0.0033940833527594805,0.0002878816449083388,0.004025752190500498,0.003414279781281948,0.0002943635336123407,0.0040159993804991245,0.003673716797493398,0.0002490421466063708,207.0
4,detached_warmup,0.04994025453925133,0.9323446154594421,2e-05,1e-06,0.0,0.00028629781445488334,0.007344539510086179,0.004645568202249706,0.00028895870491396636,0.007339919917285442,0.005165149923413992,0.0002955387026304379,0.0073354842606931925,0.004713876638561487,0.0003043759788852185,0.007331102853640914,0.004889441654086113,0.0003971878904849291,296.0
