step,train/point_rel,train/depth_rel,train/depth_delta_1.01,train/depth_delta_1.25,train/boundary_f1,val/point_rel,val/depth_rel,val/depth_delta_1.01,val/depth_delta_1.25,val/boundary_f1
0,0.06090342369861901,0.05411726098100189,0.34023498857277445,0.942622453905642,0.8085876451805234,0.06414470527670346,0.05565687808848452,0.3344591731438413,0.945982662960887,0.8234827499836683
250,0.06017251606681384,0.05328988491964992,0.34807691477180924,0.9437625396531075,0.8085646731778979,0.06475017379852943,0.056197173515101895,0.3247236856841482,0.9459824441000819,0.823594962246716
500,0.06008359638508409,0.053271706055966206,0.34986878928611986,0.9428195995278656,0.807696845382452,0.06442427096772008,0.055918191610544454,0.3227500788634643,0.9465400269255042,0.822812176309526
750,0.05972632496559527,0.052779426259803586,0.3574057736841496,0.9437911007553339,0.8061456214636564,0.0648415111209033,0.05622272135224193,0.3198635390144773,0.9461080702021718,0.8187193116173148
1000,0.0595641797845019,0.052606489189201966,0.35644308957853355,0.9440122689120471,0.8020524438470602,0.0651403337251395,0.05647752032382414,0.3095957301557064,0.9460683399811387,0.8124958695843816
1250,0.05942343319475185,0.05222553201019764,0.3586847807018785,0.9439929395448416,0.8079230692237616,0.06600710380007513,0.057247970573371276,0.2989313149591908,0.9457190642133355,0.8205903330817819
1500,0.058890158572467044,0.051746076802373864,0.3531796084862435,0.9435602605808526,0.8071683272719383,0.0664240231999429,0.05760732380440459,0.2894474896020256,0.9454345926642418,0.8185124145820737
1750,0.05915072532661725,0.052226980376872234,0.36033918587781955,0.9439061698503792,0.8072716658934951,0.06676186219556257,0.05810325154743623,0.29644256143365055,0.9457403244450688,0.8177445568144321
2000,0.05936810703133233,0.05215155499172397,0.34014449040114414,0.9456385169178247,0.7998001631349325,0.06725593909504823,0.0585367657331517,0.2521368838788476,0.9451258787885308,0.8110835403203964
