step,loss,grad_norm,k1/global,k1/local,k1/edge,k2/global,k2/local,k2/edge,k3/global,k3/local,k3/edge
1,0.043498674407601357,0.5785569548606873,0.00860579265281558,0.005872478475794196,0.00026782088389154524,0.00860579265281558,0.005362325580790639,0.00026782088389154524,0.00860579265281558,0.005643028067424893,0.00026782088389154524
2,0.2186170518398285,0.5435669422149658,0.041149357333779335,0.03085257299244404,0.0007024299120530486,0.04114905185997486,0.03032841719686985,0.0007034019799903035,0.041148627176880836,0.031878274865448475,0.0007049075793474913
3,0.10441943630576134,0.7798380255699158,0.019029172137379646,0.014625686686486006,0.0006423635350074619,0.019018891267478466,0.015707747545093298,0.0006442438461817801,0.019008933566510677,0.015095552429556847,0.0006468449719250202
4,0.0500123705714941,0.7135723233222961,0.009497875813394785,0.0065211651381105185,0.0003199756029061973,0.009488825220614672,0.007023506565019488,0.0003259134537074715,0.009480108972638845,0.007021165220066905,0.0003338344831718132
5,0.06551509350538254,1.1914561986923218,0.014301336836069822,0.006409328430891037,0.00035579947871156037,0.014280591160058975,0.007220314349979162,0.0003624424571171403,0.014260036870837212,0.007954191882163286,0.00037105081719346344
6,0.09196846932172775,0.6758614778518677,0.017140427604317665,0.013024623971432447,0.0004755328263854608,0.01712620258331299,0.01315436651930213,0.00048167488421313465,0.01711225602775812,0.012963897082954645,0.0004894820449408144
7,0.10562208294868469,0.6355484127998352,0.022778591606765985,0.012186537031084299,0.0004411519767018035,0.022748994641005993,0.012516296468675137,0.00044915285252500325,0.022720185574144125,0.011322711128741503,0.0004584559646900743
8,0.5057580024003983,0.8899548649787903,0.12578693870455027,0.02274707844480872,0.0008550533384550363,0.12577687855809927,0.04702694108709693,0.00086210596782621,0.12576674111187458,0.05606596660800278,0.0008702784107299522
9,0.07157598249614239,0.3048512041568756,0.010594471823424101,0.01474446291103959,0.00038069297443144023,0.010582985123619437,0.012527144514024258,0.00038781842158641666,0.010571753606200218,0.011390705592930317,0.00039594643749296665
10,0.06688061356544495,1.3352060317993164,0.01281598536297679,0.009197081672027707,0.00035919305810239166,0.012851630803197622,0.009519989602267742,0.0003675149637274444,0.012889049481600523,0.008502224227413535,0.00037794694071635604
11,0.07131949439644814,0.8377575874328613,0.01539974706247449,0.008295855484902859,0.00035892208688892424,0.015375999035313725,0.00830684183165431,0.00037110093398950994,0.015354063594713807,0.007470475975424051,0.0003864858590532094
12,0.07291260175406933,0.7770512700080872,0.015541094355285168,0.008886665804311633,0.0003532777263899334,0.015537170227617025,0.007669060956686735,0.0003618916671257466,0.015533895697444677,0.008657569880597293,0.000371972237189766
13,0.058128075674176216,0.7489510774612427,0.01010244432836771,0.00920804450288415,0.0003866870392812416,0.010100317653268576,0.009119274793192744,0.00039778930658940226,0.010099642910063267,0.008303484646603465,0.00041039079951588064
14,0.1181948147714138,0.6898524165153503,0.017814173828810453,0.019993438851088285,0.0006831892242189497,0.01782455248758197,0.020775452256202698,0.0006901502347318456,0.01783704897388816,0.021878100000321865,0.0006987090455368161
15,0.04847344942390919,0.407211571931839,0.008367654401808977,0.006849410245195031,0.00032797637686599046,0.008354972815141082,0.007558711338788271,0.0003367147292010486,0.008344696601852775,0.007986429613083601,0.0003468827053438872
16,0.10560694336891174,0.47773897647857666,0.018553794361650944,0.016628019511699677,0.00048573920503258705,0.018538520205765963,0.017948646564036608,0.0004939077334711328,0.018524909857660532,0.013929303735494614,0.000504106079461053
17,0.11742488667368889,0.9212714433670044,0.023556080646812916,0.014755545649677515,0.0005016637733206153,0.02351963333785534,0.014867804944515228,0.0005104590381961316,0.02348366007208824,0.015709358267486095,0.000520677916938439
18,0.08167458325624466,0.7329760789871216,0.016357311978936195,0.010454322677105665,0.00046619900967925787,0.016361077781766653,0.010326479794457555,0.00047440514026675373,0.016364927869290113,0.010385609930381179,0.00048424322449136525
19,0.09350340068340302,0.44921189546585083,0.01867900788784027,0.007136020576581359,0.00036807855940423906,0.018668592907488346,0.006927418289706111,0.00038023683009669185,0.018658469896763563,0.022291627246886492,0.00039394535997416824
20,0.10674840211868286,1.0998961925506592,0.022972065024077892,0.013341773767024279,0.00042679467878770083,0.022912890650331974,0.01084351260215044,0.0004333892575232312,0.022854328155517578,0.01252236682921648,0.0004412819107528776
21,0.08981828764081001,1.0183250904083252,0.01880734646692872,0.010915351565927267,0.00038098226650618017,0.01882488001137972,0.01016616029664874,0.0003927347715944052,0.018842794466763735,0.011081769596785307,0.00040626896952744573
22,0.05911143310368061,0.4713859260082245,0.009382181335240602,0.009724020026624203,0.0003826810425380245,0.009381289593875408,0.00996062345802784,0.0003883990866597742,0.009381439071148634,0.010116548277437687,0.00039425090653821826
23,0.5078636705875397,0.9461848735809326,0.11852939985692501,0.03765195235610008,0.001111414167098701,0.11852690950036049,0.03960668668150902,0.0011147886398248374,0.11852694116532803,0.07167701795697212,0.0011185880866833031
24,0.12953592836856842,0.6729862093925476,0.023550046607851982,0.02004808560013771,0.0006090565584599972,0.0235551199875772,0.01887304149568081,0.0006146822997834533,0.023560439702123404,0.018104657530784607,0.0006207993719726801
25,0.14018099755048752,1.196170449256897,0.0279622171074152,0.018998766783624887,0.0005225572240306064,0.027916518040001392,0.01921390136703849,0.0005279213946778327,0.027871251106262207,0.016633785795420408,0.0005340761126717553
26,0.07952485792338848,0.5779798030853271,0.016028415877372026,0.010706627741456032,0.00037115660961717367,0.016003224533051252,0.010515278205275536,0.00037803717714268714,0.015978309325873852,0.009158043656498194,0.0003857634001178667
27,0.08471355214715004,0.8664049506187439,0.015925271902233362,0.012394767254590988,0.0004883047804469243,0.015945736784487963,0.011412142775952816,0.0004937262565363199,0.015966714825481176,0.011586950160562992,0.0004999339289497584
28,0.41276196762919426,0.7019503712654114,0.10163895273581147,0.05552448146045208,0.0009475993865635246,0.10164455929771066,0.025107424706220627,0.0009500107553321868,0.10165053699165583,0.024345810059458017,0.0009526132780592889
29,0.5660799201577902,0.5593769550323486,0.1340824025683105,0.0720780654810369,0.0009057473798748106,0.13409938011318445,0.02698244946077466,0.000907337453099899,0.13409600779414177,0.062019760720431805,0.000908748887013644
30,0.1358954980969429,0.4137824475765228,0.02461669873446226,0.020049705170094967,0.0005111808131914586,0.024613051675260067,0.01869178982451558,0.0005175928818061948,0.024609641171991825,0.02176157757639885,0.0005242663901299238
31,0.11982531100511551,0.777973473072052,0.02721731597557664,0.012422149768099189,0.0003579965850804001,0.027184599079191685,0.011505244998261333,0.0003625946264946833,0.027151932939887047,0.013256262056529522,0.0003672175225801766
32,0.07343249395489693,0.29156628251075745,0.01250503258779645,0.01180038321763277,0.0004570704040816054,0.012500660959631205,0.011547406204044819,0.00046194091555662453,0.012496758252382278,0.011196556501090527,0.000466684257844463
33,0.14545347541570663,0.6026253700256348,0.027163478545844555,0.02089405944570899,0.0006737281219102442,0.027164814993739128,0.020701199769973755,0.000678015174344182,0.027166605927050114,0.02032904513180256,0.0006825335731264204
34,0.10021810606122017,0.5251650810241699,0.020587047562003136,0.01202987227588892,0.0005284284125082195,0.020578262396156788,0.012141884304583073,0.0005330704152584076,0.02056955359876156,0.01271191705018282,0.0005380741786211729
35,0.07290220633149147,0.9583994150161743,0.015559094492346048,0.008724221028387547,0.00030945173057261854,0.015529612079262733,0.009191889083012938,0.0003151949495077133,0.015500476583838463,0.007450044853612781,0.0003222247614758089
36,0.12986699119210243,0.5226023197174072,0.027797015849500895,0.013708006590604782,0.0004281775909475982,0.027798448223620653,0.01330606359988451,0.00043310425826348364,0.027800579089671373,0.01815685397014022,0.00043874500261154026
37,0.10890677571296692,0.7860702872276306,0.02063533803448081,0.01483001746237278,0.000561433465918526,0.02064283424988389,0.01565124560147524,0.0005654056876664981,0.020650744903832674,0.014799867756664753,0.0005698874301742762
38,0.10945405811071396,0.40347370505332947,0.02488325908780098,0.010333201847970486,0.0004844474751735106,0.024875176139175892,0.010833722539246082,0.000488820078317076,0.024867459200322628,0.01219437038525939,0.0004936013865517452
39,0.08342867717146873,0.5290949940681458,0.014778301119804382,0.012357519008219242,0.00044190839980728924,0.014761362690478563,0.01240780483931303,0.00044720087316818535,0.014744677115231752,0.013037462253123522,0.0004524449468590319
40,0.1270906925201416,0.6128236055374146,0.022184214554727077,0.020559175638481975,0.0004510568978730589,0.022167231887578964,0.01769544486887753,0.0004557037609629333,0.022150658536702394,0.020966357784345746,0.00046084303176030517
41,0.1366521641612053,0.8207189440727234,0.01731894863769412,0.027918423991650343,0.0005596966075245291,0.017339090816676617,0.027603420428931713,0.0005652799154631793,0.017359917983412743,0.02741641504690051,0.0005709741089958698
42,0.06700757145881653,0.8407421708106995,0.012685422785580158,0.009355416987091303,0.00047180603723973036,0.01270213071256876,0.009045032085850835,0.000477948080515489,0.012719320133328438,0.009065954480320215,0.00048454132047481835
