sample_id,scene,frame,split,k,objective,loss,valid_pixels,gradient_abs_mean,gradient_rms,gradient_abs_max,gradient_l1_mass,gradient_nonzero_fraction,crop_pixels,crop_pixel_share,crop_gradient_mass_share,crop_gradient_enrichment,structure_pixels,structure_pixel_share,structure_gradient_mass_share,structure_gradient_enrichment,gt_boundary_pixels,gt_boundary_pixel_share,gt_boundary_gradient_mass_share,gt_boundary_gradient_enrichment,cosine_global_local,cosine_global_edge,cosine_local_edge
ai_054_008_cam_00_frame.0000,ai_054_008,0,train,0,global,0.03428635746240616,196569,2.304545205333852e-06,2.4061014300968964e-06,5.494370270753279e-06,0.4530021548271179,1.0,36825,0.18733879706362652,0.17542386054992676,0.9363989910234501,18413,0.09367194216789015,0.09641294926404953,1.0292617728716098,37850,0.19255325102126988,0.18267983198165894,0.9487236959789357,0.41220009326934814,0.07528342306613922,0.2995939254760742
ai_054_008_cam_00_frame.0000,ai_054_008,0,train,0,local,0.03768075257539749,196569,4.653236373997061e-06,5.402244369179243e-06,1.646379860176239e-05,0.9146819710731506,0.9970646500587463,36825,0.18733879706362652,0.16567391157150269,0.8843545179551584,18413,0.09367194216789015,0.08934693038463593,0.9538280974733884,37850,0.19255325102126988,0.20847997069358826,1.0827133252118348,0.41220009326934814,0.07528342306613922,0.2995939254760742
ai_054_008_cam_00_frame.0000,ai_054_008,0,train,0,edge_legacy_max,0.0008388939313590527,196569,2.043988615696435e-06,2.9768179956590757e-06,1.0910035598499235e-05,0.4017847776412964,0.9958691596984863,36825,0.18733879706362652,0.14476823806762695,0.7727616507458347,18413,0.09367194216789015,0.058107513934373856,0.6203299791759048,37850,0.19255325102126988,0.17999491095542908,0.9347799115349469,0.41220009326934814,0.07528342306613922,0.2995939254760742
ai_054_008_cam_00_frame.0000,ai_054_008,0,train,0,edge_paper_min,0.0011185252806171775,196569,2.7253183816355886e-06,3.969090812461218e-06,1.4546716556651518e-05,0.5357130765914917,0.9958691596984863,36825,0.18733879706362652,0.14476820826530457,0.7727614916633443,18413,0.09367194216789015,0.058107513934373856,0.6203299791759048,37850,0.19255325102126988,0.17999491095542908,0.9347799115349469,0.41220009326934814,0.07528342306613922,0.2995939254760742
ai_054_008_cam_00_frame.0000,ai_054_008,0,train,0,combined_paper,0.07308563531842083,196569,7.202836513897637e-06,8.702229024493136e-06,2.7539754228200763e-05,1.4158543348312378,1.0,36825,0.18733879706362652,0.15534038841724396,0.8291949711008615,18413,0.09367194216789015,0.07789547741413116,0.8315774778590316,37850,0.19255325102126988,0.21594753861427307,1.121495157671573,0.41220009326934814,0.07528342306613922,0.2995939254760742
ai_054_008_cam_00_frame.0000,ai_054_008,0,train,3,global,0.03017299808561802,196569,2.2899796476849588e-06,2.3868678908911534e-06,5.526216227735858e-06,0.45013901591300964,1.0,36825,0.18733879706362652,0.16825447976589203,0.8981293912587001,18413,0.09367194216789015,0.08934789150953293,0.9538383580153901,37850,0.19255325102126988,0.18327368795871735,0.9518078089394216,0.5030732154846191,0.09461309015750885,0.3059244155883789
ai_054_008_cam_00_frame.0000,ai_054_008,0,train,3,local,0.03548109903931618,196569,4.827529210160719e-06,5.565400897467043e-06,1.6574658729950897e-05,0.9489425420761108,0.9974258542060852,36825,0.18733879706362652,0.1572161763906479,0.8392077821298918,18413,0.09367194216789015,0.08577343821525574,0.9156790841543804,37850,0.19255325102126988,0.20239689946174622,1.051121694327503,0.5030732154846191,0.09461309015750885,0.3059244155883789
ai_054_008_cam_00_frame.0000,ai_054_008,0,train,3,edge_legacy_max,0.0009465957409702241,196569,2.5548179110046476e-06,3.30856073560426e-06,1.0883471077249851e-05,0.5021979808807373,0.9967085719108582,36825,0.18733879706362652,0.1529768407344818,0.8165785364925011,18413,0.09367194216789015,0.07078438997268677,0.7556626705339198,37850,0.19255325102126988,0.15750475227832794,0.8179802285495018,0.5030732154846191,0.09461309015750885,0.3059244155883789
ai_054_008_cam_00_frame.0000,ai_054_008,0,train,3,edge_paper_min,0.0012621276546269655,196569,3.4064239571307553e-06,4.411414465721464e-06,1.4511294466501568e-05,0.669597327709198,0.9967085719108582,36825,0.18733879706362652,0.15297682583332062,0.8165784569512559,18413,0.09367194216789015,0.07078438997268677,0.7556626705339198,37850,0.19255325102126988,0.15750476717948914,0.8179803059367239,0.5030732154846191,0.09461309015750885,0.3059244155883789
ai_054_008_cam_00_frame.0000,ai_054_008,0,train,3,combined_paper,0.06691622477956116,196569,7.77033346821554e-06,9.301131285610609e-06,2.7739160941564478e-05,1.5274066925048828,1.0,36825,0.18733879706362652,0.1537061631679535,0.8204716031978669,18413,0.09367194216789015,0.08089815825223923,0.8636327632370832,37850,0.19255325102126988,0.2062646448612213,1.0712083216836306,0.5030732154846191,0.09461309015750885,0.3059244155883789
ai_052_005_cam_01_frame.0099,ai_052_005,99,train,0,global,0.09217846393585205,196608,2.1053579075669404e-06,2.327289621462114e-06,2.323875014553778e-05,0.41393017768859863,1.0,36864,0.1875,0.18396227061748505,0.9811321099599203,18432,0.09375,0.10820513963699341,1.1541881561279297,80684,0.4103800455729167,0.3970284163951874,0.9674652085992885,0.3550356924533844,0.06397641450166702,0.2646695375442505
ai_052_005_cam_01_frame.0099,ai_052_005,99,train,0,local,0.138899564743042,196608,4.1202811189577915e-06,5.048845650890144e-06,4.858091051573865e-05,0.8100801706314087,0.9953664541244507,36864,0.1875,0.2162700593471527,1.1534403165181477,18432,0.09375,0.13082581758499146,1.3954753875732422,80684,0.4103800455729167,0.4610363245010376,1.1234374806343264,0.3550356924533844,0.06397641450166702,0.2646695375442505
ai_052_005_cam_01_frame.0099,ai_052_005,99,train,0,edge_legacy_max,0.0012096099089831114,196608,2.1296286831784528e-06,3.1909378321870463e-06,1.1632779205683619e-05,0.41870200634002686,0.9932454824447632,36864,0.1875,0.16399846971035004,0.8746585051218668,18432,0.09375,0.10102085024118423,1.077555735905965,80684,0.4103800455729167,0.2914849519729614,0.7102805195267958,0.3550356924533844,0.06397641450166702,0.2646695375442505
ai_052_005_cam_01_frame.0099,ai_052_005,99,train,0,edge_paper_min,0.0016128132119774818,196608,2.839504986695829e-06,4.254583927831845e-06,1.5510373486904427e-05,0.5582693815231323,0.9932454824447632,36864,0.1875,0.16399845480918884,0.8746584256490072,18432,0.09375,0.10102083534002304,1.0775555769602458,80684,0.4103800455729167,0.2914849519729614,0.7102805195267958,0.3550356924533844,0.06397641450166702,0.2646695375442505
ai_052_005_cam_01_frame.0099,ai_052_005,99,train,0,combined_paper,0.23269084189087152,196608,6.691908311040606e-06,8.365977009816561e-06,7.273819937836379e-05,1.3156826496124268,0.9998016357421875,36864,0.1875,0.20353838801383972,1.0855380694071453,18432,0.09375,0.12284979969263077,1.3103978633880615,80684,0.4103800455729167,0.4371819496154785,1.065309959223638,0.3550356924533844,0.06397641450166702,0.2646695375442505
ai_052_005_cam_01_frame.0099,ai_052_005,99,train,3,global,0.08010583370923996,196608,2.0353975287434878e-06,2.254895434816717e-06,2.5993562303483486e-05,0.40017542243003845,1.0,36864,0.1875,0.1880495697259903,1.002931038538615,18432,0.09375,0.11634510010480881,1.2410144011179607,80684,0.4103800455729167,0.4058651626110077,0.98899828826812,0.5188565254211426,0.09087178111076355,0.3117768466472626
ai_052_005_cam_01_frame.0099,ai_052_005,99,train,3,local,0.13841046392917633,196608,4.41552674601553e-06,5.315325324772857e-06,5.59186955797486e-05,0.8681278824806213,0.9951986074447632,36864,0.1875,0.19046235084533691,1.0157992045084636,18432,0.09375,0.11948596686124802,1.2745169798533122,80684,0.4103800455729167,0.4157750904560089,1.0131464600710798,0.5188565254211426,0.09087178111076355,0.3117768466472626
ai_052_005_cam_01_frame.0099,ai_052_005,99,train,3,edge_legacy_max,0.0013740125577896833,196608,2.405881105005392e-06,3.3003259432007326e-06,1.2003465599264018e-05,0.4730154573917389,0.9888407588005066,36864,0.1875,0.1458265632390976,0.7777416706085205,18432,0.09375,0.08734052628278732,0.9316322803497314,80684,0.4103800455729167,0.2762271761894226,0.6731008955462049,0.5188565254211426,0.09087178111076355,0.3117768466472626
ai_052_005_cam_01_frame.0099,ai_052_005,99,train,3,edge_paper_min,0.0018320167437195778,196608,3.2078414733405225e-06,4.400435045681661e-06,1.6004622011678293e-05,0.6306872963905334,0.9888407588005066,36864,0.1875,0.1458265632390976,0.7777416706085205,18432,0.09375,0.08734051883220673,0.9316322008768717,80684,0.4103800455729167,0.276227205991745,0.6731009681674806,0.5188565254211426,0.09087178111076355,0.3117768466472626
ai_052_005_cam_01_frame.0099,ai_052_005,99,train,3,combined_paper,0.22034831438213587,196608,7.305108738364652e-06,9.029213288158644e-06,8.191225788323209e-05,1.4362428188323975,0.9997202754020691,36864,0.1875,0.18233682215213776,0.972463051478068,18432,0.09375,0.11376798897981644,1.2135252157847087,80684,0.4103800455729167,0.3972315788269043,0.9679602678350107,0.5188565254211426,0.09087178111076355,0.3117768466472626
ai_028_001_cam_00_frame.0099,ai_028_001,99,train,0,global,0.013954558409750462,196608,2.0505890461208764e-06,2.1926944100414403e-06,4.4774151319870725e-06,0.4031621813774109,1.0,36864,0.1875,0.17801377177238464,0.9494067827860514,18432,0.09375,0.09352706372737885,0.997622013092041,19203,0.0976715087890625,0.09728246927261353,0.9960168577175441,0.22184725105762482,0.01709435135126114,0.30818480253219604
ai_028_001_cam_00_frame.0099,ai_028_001,99,train,0,local,0.011058995500206947,196608,4.273837475921027e-06,4.973707291355822e-06,1.343224630545592e-05,0.8402706384658813,0.9992625117301941,36864,0.1875,0.221445694565773,1.1810437043507893,18432,0.09375,0.11552754789590836,1.2322938442230225,19203,0.0976715087890625,0.12526942789554596,1.2825585418782222,0.22184725105762482,0.01709435135126114,0.30818480253219604
ai_028_001_cam_00_frame.0099,ai_028_001,99,train,0,edge_legacy_max,0.0005134607199579477,196608,2.6689826881920453e-06,3.6961757814424345e-06,1.1163482668052893e-05,0.5247433185577393,0.9997762441635132,36864,0.1875,0.13896891474723816,0.7411675453186035,18432,0.09375,0.07469029724597931,0.7966965039571127,19203,0.0976715087890625,0.04007240757346153,0.41027734771666535,0.22184725105762482,0.01709435135126114,0.30818480253219604
