step,loss,moving_mean_10
1,0.04832770675,
2,0.04876807332,
3,0.04875929654,
4,0.04877416044,
5,0.0474345535,
6,0.04679960385,
7,0.04661947489,
8,0.04494249821,
9,0.04595673829,
10,0.04542628676,0.04718083926
11,0.04356915131,0.04670498371
12,0.04306451976,0.04613462836
13,0.04254467413,0.04551316611
14,0.04223947972,0.04485969804
15,0.04121967405,0.0442382101
16,0.0419235006,0.04375059977
17,0.03983927891,0.04307258017
18,0.04138255864,0.04271658622
19,0.03938771412,0.0420596838
20,0.03904461116,0.04142151624
21,0.03802576289,0.0408671774
22,0.03769510612,0.04033023603
23,0.03672915325,0.03974868394
24,0.03572469205,0.03909720518
25,0.03627955914,0.03860319369
26,0.03505895659,0.03791673928
27,0.03497543931,0.03743035533
28,0.03484834358,0.03677693382
29,0.03391121328,0.03622928374
30,0.03249212354,0.03557403497
31,0.0342994146,0.03520140015
32,0.03174782917,0.03460667245
33,0.03183550015,0.03411730714
34,0.03109079041,0.03365391698
35,0.03163039312,0.03318900038
36,0.03071513958,0.03275461867
37,0.03042598628,0.03229967337
38,0.03050982952,0.03186582197
39,0.029019095,0.03137661014
40,0.02919667214,0.031047065
41,0.02807946131,0.03042506967
42,0.02824629471,0.03007491622
43,0.02748974785,0.02964034099
44,0.02701812238,0.02923307419
45,0.02733792178,0.02880382705
46,0.02654554881,0.02838686798
47,0.02660110593,0.02800437994
48,0.02727761492,0.02768115848
49,0.02567303553,0.02734655254
50,0.02586524561,0.02701340988
51,0.02600027621,0.02680549137
52,0.0260252133,0.02658338323
53,0.02599688992,0.02643409744
54,0.02490812913,0.02622309811
55,0.02461240441,0.02595054638
56,0.02425169386,0.02572116088
57,0.02438120544,0.02549917083
58,0.02381082252,0.02515249159
59,0.02359852195,0.02494504023
60,0.02352432162,0.02471094783
61,0.02335472219,0.02444639243
62,0.02510616928,0.02435448803
63,0.02335958555,0.02409075759
64,0.02338689938,0.02393863462
65,0.02306983992,0.02378437817
66,0.02341927961,0.02370113675
67,0.02232071199,0.0234950874
68,0.02369823121,0.02348382827
69,0.02302863263,0.02342683934
70,0.0229338482,0.023367792
71,0.02212820947,0.02324514072
72,0.02116878703,0.0228514025
73,0.02146406844,0.02266185079
74,0.02147536539,0.02247069739
75,0.02174887247,0.02233860064
76,0.02103641629,0.02210031431
77,0.02063890547,0.02193213366
78,0.02136115171,0.02169842571
79,0.02160522342,0.02155608479
80,0.02017052844,0.02127975281
81,0.02091659419,0.02115859129
82,0.02064375393,0.02110608798
83,0.02064899728,0.02102458086
84,0.02053852007,0.02093089633
85,0.02157942019,0.0209139511
86,0.02053624578,0.02086393405
87,0.02073636465,0.02087367997
88,0.02028198354,0.02076576315
89,0.02042547986,0.02064778879
90,0.02027952671,0.02065868862
91,0.02027638629,0.02059466783
92,0.01979018189,0.02050931063
93,0.01981279999,0.0204256909
94,0.02040201053,0.02041203994
95,0.01969563961,0.02022366188
96,0.02023066022,0.02019310333
97,0.01940442994,0.02005990986
98,0.02017291263,0.02004900277
99,0.02068518847,0.02007497363
100,0.01988118701,0.02003513966
101,0.01934943348,0.01994244438
102,0.02031689137,0.01999511532
103,0.01961642131,0.01997547746
104,0.0191904828,0.01985432468
105,0.019508183,0.01983557902
106,0.01926149428,0.01973866243
107,0.01851594076,0.01964981351
108,0.0194578357,0.01957830582
109,0.01837508753,0.01934729572
110,0.01855197921,0.01921437494
111,0.01819407567,0.01909883916
112,0.01873989031,0.01894113906
113,0.01837093756,0.01881659068
114,0.01881600916,0.01877914332
115,0.01785544679,0.0186138697
116,0.01851681434,0.0185394017
117,0.01865880378,0.018553688
118,0.01778646559,0.01838655099
119,0.01777786203,0.01832682844
120,0.0179804787,0.01826967839
121,0.01787028834,0.01823729966
122,0.01777088828,0.01814039946
123,0.01721785963,0.01802509166
124,0.01763780415,0.01790727116
125,0.01756653003,0.01787837949
126,0.01749046519,0.01777574457
127,0.01703076623,0.01761294082
128,0.01784667373,0.01761896163
129,0.01722369343,0.01756354477
130,0.01668700948,0.01743419785
131,0.01748255081,0.0173954241
132,0.01722671278,0.01734100655
133,0.01690319926,0.01730954051
134,0.01678691804,0.0172244519
135,0.01747108623,0.01721490752
136,0.01676133089,0.01714199409
137,0.01677618176,0.01711653564
138,0.01717461087,0.01704932936
139,0.01634896733,0.01696185675
140,0.01603557914,0.01689671371
141,0.01664552279,0.01681301091
142,0.01721036062,0.01681137569
143,0.01605313458,0.01672636922
144,0.01724026725,0.01677170414
145,0.0166338291,0.01668797843
146,0.01676229201,0.01668807454
147,0.01594160311,0.01660461668
148,0.01658976823,0.01654613242
149,0.01631116867,0.01654235255
150,0.01572000422,0.01651079506
151,0.01644364186,0.01649060696
152,0.01573751122,0.01634332202
153,0.0162060447,0.01635861304
154,0.01567310281,0.01620189659
155,0.01682892814,0.0162214065
156,0.01615250856,0.01616042815
157,0.01685189083,0.01625145692
158,0.01655337587,0.01624781769
159,0.01640630886,0.01625733171
160,0.01646264829,0.01633159611
161,0.01627340168,0.0163145721
162,0.01600346528,0.0163411675
163,0.01649970561,0.01637053359
164,0.0169297643,0.01649619974
165,0.01633483917,0.01644679084
166,0.01579598896,0.01641113888
167,0.01597969607,0.01632391941
168,0.01552428864,0.01622101068
169,0.01578088105,0.0161584679
170,0.01540172659,0.01605237573
171,0.01631755009,0.01605679058
172,0.01650924981,0.01610736903
173,0.01517960429,0.0159753589
174,0.01611016504,0.01589339897
175,0.01608495228,0.01586841028
176,0.01592156664,0.01588096805
177,0.01582968794,0.01586596724
178,0.01562989876,0.01587652825
179,0.01650108956,0.0159485491
180,0.01629312709,0.01603768915
181,0.01638375409,0.01604430955
182,0.01525464095,0.01591884866
183,0.01554450952,0.01595533919
184,0.01557926834,0.01590224952
185,0.01591259986,0.01588501427
186,0.01551791839,0.01584464945
187,0.01534203999,0.01579588465
188,0.01494900882,0.01572779566
189,0.01488259155,0.01556594586
190,0.01539561898,0.01547619505
191,0.01493907906,0.01533172755
192,0.01478362456,0.01528462591
193,0.01492981426,0.01522315638
194,0.0148674706,0.01515197661
195,0.01429756917,0.01499047354
196,0.01427851245,0.01486653294
197,0.01442148816,0.01477447776
198,0.0145408418,0.01473366106
199,0.01445531845,0.01469093375
200,0.01468403451,0.0146197753
