order,id,scene,frame,description,crop_xyxy,display_mask_pixels,k0_point_rel,k3_point_rel,point_rel_delta,k0_depth_rel,k3_depth_rel,depth_rel_delta,gif,preview
1,ai_019_004_cam_00_frame.0000,ai_019_004,0,楼梯扶手与平行栏杆,192 160 384 352,18432,0.09882733970880508,0.07407525181770325,-0.024752087891101837,0.09583309292793274,0.07163240015506744,-0.024200692772865295,items/01_ai_019_004_cam_00_frame.0000/train_rod_orbit.gif,items/01_ai_019_004_cam_00_frame.0000/train_rod_preview.png
2,ai_052_008_cam_01_frame.0099,ai_052_008,99,桌腿与椅子细支撑,32 192 224 384,18432,0.02197367325425148,0.01766311191022396,-0.004310561344027519,0.020377885550260544,0.016009479761123657,-0.004368405789136887,items/02_ai_052_008_cam_01_frame.0099/train_rod_orbit.gif,items/02_ai_052_008_cam_01_frame.0099/train_rod_preview.png
3,ai_026_013_cam_00_frame.0000,ai_026_013,0,放射状屋顶细梁,192 0 384 192,18432,0.05620928481221199,0.05174744129180908,-0.004461843520402908,0.04934890940785408,0.04275976121425629,-0.006589148193597794,items/03_ai_026_013_cam_00_frame.0000/train_rod_orbit.gif,items/03_ai_026_013_cam_00_frame.0000/train_rod_preview.png
4,ai_054_008_cam_00_frame.0000,ai_054_008,0,悬空楼梯踏板与支架,192 192 384 384,18413,0.05940648168325424,0.056954387575387955,-0.0024520941078662872,0.05620282143354416,0.05336066335439682,-0.002842158079147339,items/04_ai_054_008_cam_00_frame.0000/train_rod_orbit.gif,items/04_ai_054_008_cam_00_frame.0000/train_rod_preview.png
5,ai_053_018_cam_00_frame.0000,ai_053_018,0,密集竖直隔断杆,320 64 512 256,18429,0.11173249781131744,0.11620410531759262,0.004471607506275177,0.09515271335840225,0.09414045512676239,-0.001012258231639862,items/05_ai_053_018_cam_00_frame.0000/train_rod_orbit.gif,items/05_ai_053_018_cam_00_frame.0000/train_rod_preview.png
6,ai_002_003_cam_00_frame.0000,ai_002_003,0,楼梯栏杆与斜向扶手,128 32 320 224,18432,0.07347697764635086,0.059124656021595,-0.01435232162475586,0.0719854012131691,0.057841956615448,-0.0141434445977211,items/06_ai_002_003_cam_00_frame.0000/train_rod_orbit.gif,items/06_ai_002_003_cam_00_frame.0000/train_rod_preview.png
7,ai_019_004_cam_00_frame.0099,ai_019_004,99,玻璃楼梯细拉杆,0 96 192 288,18432,0.18452924489974976,0.1867850124835968,0.002255767583847046,0.16856437921524048,0.17028340697288513,0.0017190277576446533,items/07_ai_019_004_cam_00_frame.0099/train_rod_orbit.gif,items/07_ai_019_004_cam_00_frame.0099/train_rod_preview.png
8,ai_009_001_cam_00_frame.0099,ai_009_001,99,装饰性细柱与弯曲格栅,32 32 224 224,17669,0.03373578190803528,0.03352268040180206,-0.00021310150623321533,0.031797733157873154,0.031717389822006226,-8.03433358669281e-05,items/08_ai_009_001_cam_00_frame.0099/train_rod_orbit.gif,items/08_ai_009_001_cam_00_frame.0099/train_rod_preview.png
