id,split,scene,frame,before_point_rel,before_depth_rel,before_depth_delta_1.01,before_depth_delta_1.25,before_boundary_f1,after_point_rel,after_depth_rel,after_depth_delta_1.01,after_depth_delta_1.25,after_boundary_f1,depth_rel_improved
ai_001_001_cam_00_frame.0000,train,ai_001_001,0,0.02000037394464016,0.01837296411395073,0.5143229365348816,0.9991455078125,0.8568294048309326,0.005879491567611694,0.004415120929479599,0.90570068359375,0.9997762441635132,0.8882781267166138,True
ai_001_001_cam_00_frame.0014,train,ai_001_001,14,0.026999957859516144,0.02405182644724846,0.5626220703125,0.99822998046875,0.9493168592453003,0.009799218736588955,0.008769460953772068,0.7054036855697632,0.9990641474723816,0.9610593318939209,True
ai_001_001_cam_00_frame.0028,train,ai_001_001,28,0.01000630110502243,0.008551888167858124,0.7840169668197632,0.9990438222885132,0.9186933040618896,0.00622898293659091,0.005493283271789551,0.9185994863510132,0.9991862177848816,0.891726016998291,True
ai_001_001_cam_00_frame.0043,train,ai_001_001,43,0.009877979755401611,0.00883413664996624,0.6847127676010132,0.9984537959098816,0.907649040222168,0.004138171672821045,0.0031207366846501827,0.97955322265625,0.9996744990348816,0.9497095942497253,True
ai_001_001_cam_00_frame.0056,train,ai_001_001,56,0.01066187396645546,0.008864108473062515,0.76251220703125,0.9974365234375,0.8822859525680542,0.005624919198453426,0.0036180969327688217,0.95550537109375,0.9996744990348816,0.8798490762710571,True
ai_001_001_cam_00_frame.0071,train,ai_001_001,71,0.02445673756301403,0.021962739527225494,0.1882731169462204,0.9984334707260132,0.8755757212638855,0.007369834929704666,0.005051617510616779,0.89813232421875,0.9993896484375,0.8929882645606995,True
ai_001_001_cam_00_frame.0085,train,ai_001_001,85,0.014458313584327698,0.012837773188948631,0.7065226435661316,0.99871826171875,0.9063535332679749,0.006856514140963554,0.0057637691497802734,0.8648478388786316,0.9987589716911316,0.9051470160484314,True
ai_001_001_cam_00_frame.0099,train,ai_001_001,99,0.029627572745084763,0.020216047763824463,0.5155436396598816,0.9892985224723816,0.9433675408363342,0.013876557350158691,0.007955716922879219,0.8439738154411316,0.9966024160385132,0.97678542137146,True
ai_018_003_cam_00_frame.0000,train,ai_018_003,0,0.02247479557991028,0.02086021564900875,0.4785359799861908,0.9867960810661316,0.8702162504196167,0.01387215405702591,0.011924768798053265,0.7342529296875,0.9924723505973816,0.8653557300567627,True
ai_018_003_cam_00_frame.0014,train,ai_018_003,14,0.027361758053302765,0.022707410156726837,0.3114420771598816,0.9910685420036316,0.862930953502655,0.014297932386398315,0.010955813340842724,0.6993204951286316,0.9958699941635132,0.8188831210136414,True
ai_018_003_cam_00_frame.0028,train,ai_018_003,28,0.053981631994247437,0.04853600263595581,0.3617146909236908,0.97637939453125,0.7415140271186829,0.020331021398305893,0.0173133946955204,0.5743001699447632,0.9920858144760132,0.7952073812484741,True
ai_018_003_cam_00_frame.0042,train,ai_018_003,42,0.023980069905519485,0.0206790491938591,0.6044718623161316,0.9890950918197632,0.9107326865196228,0.014164033345878124,0.011379065923392773,0.7897542715072632,0.993896484375,0.8593026399612427,True
ai_018_003_cam_00_frame.0057,train,ai_018_003,57,0.03971952199935913,0.0379779115319252,0.12994384765625,0.989013671875,0.9201957583427429,0.020097315311431885,0.014792786911129951,0.581298828125,0.9937337636947632,0.898089587688446,True
ai_018_003_cam_00_frame.0071,train,ai_018_003,71,0.015379084274172783,0.013010777533054352,0.6072794795036316,0.9947713613510132,0.9509317874908447,0.009807214140892029,0.008220489136874676,0.7757365107536316,0.998046875,0.9507065415382385,True
ai_018_003_cam_00_frame.0085,train,ai_018_003,85,0.026910852640867233,0.02104177139699459,0.41839599609375,0.9914754629135132,0.8162508010864258,0.018083622679114342,0.010630826465785503,0.7126871943473816,0.9955648183822632,0.8411115407943726,True
ai_018_003_cam_00_frame.0099,train,ai_018_003,99,0.025918638333678246,0.023433517664670944,0.4132080078125,0.99249267578125,0.8969887495040894,0.012823162600398064,0.009694386273622513,0.7801717519760132,0.9949951171875,0.8582959771156311,True
ai_036_002_cam_00_frame.0000,train,ai_036_002,0,0.07941988110542297,0.06919942796230316,0.156982421875,0.9440104365348816,0.8890029788017273,0.04649185761809349,0.0326903760433197,0.55084228515625,0.9677734375,0.904222846031189,True
ai_036_002_cam_00_frame.0014,train,ai_036_002,14,0.14829617738723755,0.10951018333435059,0.056640625,0.880126953125,0.895007312297821,0.071062371134758,0.040833815932273865,0.4345906674861908,0.9665120840072632,0.8607175946235657,True
ai_036_002_cam_00_frame.0028,train,ai_036_002,28,0.043119996786117554,0.04116547852754593,0.1298014372587204,0.9884237051010132,0.7273624539375305,0.023737896233797073,0.014170723967254162,0.5830078125,0.9928995966911316,0.8310068249702454,True
ai_036_002_cam_00_frame.0042,train,ai_036_002,42,0.04071032255887985,0.03899243101477623,0.3476359248161316,0.9665324091911316,0.8185043931007385,0.021215684711933136,0.011920331045985222,0.6994222402572632,0.9971110224723816,0.8809776902198792,True
ai_036_002_cam_00_frame.0057,train,ai_036_002,57,0.04101535305380821,0.036930955946445465,0.1774698942899704,0.9959513545036316,0.8775209784507751,0.025868942961096764,0.014332149177789688,0.5421142578125,0.9971720576286316,0.9023087024688721,True
ai_036_002_cam_00_frame.0071,train,ai_036_002,71,0.04226706549525261,0.03824497386813164,0.22951719164848328,0.9758499264717102,0.8496381640434265,0.026849525049328804,0.015567611902952194,0.7019389271736145,0.9889320731163025,0.8919180035591125,True
ai_036_002_cam_00_frame.0085,train,ai_036_002,85,0.06570595502853394,0.06048797816038132,0.1016438826918602,0.9681803584098816,0.8167427778244019,0.03503268212080002,0.021080195903778076,0.5350545644760132,0.9908040761947632,0.8806565403938293,True
ai_036_002_cam_00_frame.0099,train,ai_036_002,99,0.03738884627819061,0.03275743126869202,0.2702840268611908,0.9795736074447632,0.7960121035575867,0.025288492441177368,0.015297606587409973,0.66705322265625,0.9884033203125,0.8404662013053894,True
ai_055_003_cam_00_frame.0000,val,ai_055_003,0,0.07597427070140839,0.06950192898511887,0.1715087890625,0.92724609375,0.9001129865646362,0.07542581111192703,0.06742668151855469,0.1943766325712204,0.9218546748161316,0.881342887878418,True
ai_055_003_cam_00_frame.0014,val,ai_055_003,14,0.11974270641803741,0.10783537477254868,0.1031494140625,0.9049072265625,0.8947675228118896,0.11488953232765198,0.10502433031797409,0.12939453125,0.9013468623161316,0.8923051953315735,True
ai_055_003_cam_00_frame.0028,val,ai_055_003,28,0.0972377359867096,0.0874120369553566,0.15053583681583405,0.8922073245048523,0.8994613289833069,0.09352798014879227,0.08592822402715683,0.15940432250499725,0.8965273499488831,0.8916462659835815,True
ai_055_003_cam_00_frame.0042,val,ai_055_003,42,0.05821792408823967,0.04590832069516182,0.3096756637096405,0.9588595628738403,0.857216477394104,0.0717799961566925,0.05512465536594391,0.28019973635673523,0.957894504070282,0.8214848637580872,False
ai_055_003_cam_00_frame.0057,val,ai_055_003,57,0.08530542999505997,0.05610572546720505,0.25515511631965637,0.9839308857917786,0.8951318264007568,0.09520454704761505,0.05919095128774643,0.09569478034973145,0.977986216545105,0.8150494694709778,False
ai_055_003_cam_00_frame.0071,val,ai_055_003,71,0.07690871506929398,0.07094426453113556,0.14710256457328796,0.9216678738594055,0.8865506052970886,0.08268675208091736,0.0758795291185379,0.1303333193063736,0.9185494780540466,0.8580729365348816,False
ai_055_003_cam_00_frame.0085,val,ai_055_003,85,0.08360611647367477,0.0643296018242836,0.15702857077121735,0.9572571516036987,0.8032558560371399,0.09896450489759445,0.07798022776842117,0.07570285350084305,0.9555428624153137,0.7945472598075867,False
ai_055_003_cam_00_frame.0099,val,ai_055_003,99,0.06522342562675476,0.057743970304727554,0.26085731387138367,0.9483098983764648,0.8865798115730286,0.07066947966814041,0.06238594278693199,0.1875067800283432,0.9443854093551636,0.8749046325683594,False
