checkpoint,step,split,initial_point_rel,k0_point_rel,k3_point_rel,k3_point_reduction_vs_initial,ssr_point_reduction_k3_vs_k0,initial_boundary_f1,k0_boundary_f1,k3_boundary_f1,k3_boundary_change_vs_initial,ssr_boundary_change_k3_vs_k0
best,0,train,0.07349634496495128,0.07349634496495128,0.07349634496495128,0.0,0.0,0.7962314573427042,0.7962314573427042,0.7962314573427042,0.0,0.0
best,0,val,0.08903866010950878,0.08903866010950878,0.08903866010950878,0.0,0.0,0.8567267879843712,0.8567267879843712,0.8567267879843712,0.0,0.0
best,0,test,0.07314241176936775,0.07314241176936775,0.07314241176936775,0.0,0.0,0.8262888044118881,0.8262888044118881,0.8262888044118881,0.0,0.0
latest,600,train,0.07349634496495128,0.0617768750526011,0.0555153243864576,0.24465190190163077,0.10135751704520468,0.7962314573427042,0.8076870106160641,0.7997172375520071,0.0034857802093029022,-0.007969773064056995
latest,600,val,0.08903866010950878,0.08774233213625848,0.0916468515060842,-0.029292797009384586,-0.04449983576641481,0.8567267879843712,0.8658309802412987,0.8507317751646042,-0.005995012819766998,-0.015099205076694489
latest,600,test,0.07314241176936775,0.07162122242152691,0.07426352053880692,-0.015327752289249652,-0.03689266990904949,0.8262888044118881,0.835887249559164,0.8119634948670864,-0.014325309544801712,-0.023923754692077637
