id,split,scene,frame,k0_point_rel,k0_depth_rel,k0_depth_delta_1.01,k0_depth_delta_1.25,k0_alignment_scale,k0_alignment_z_shift,k0_boundary_f1,k1_point_rel,k1_depth_rel,k1_depth_delta_1.01,k1_depth_delta_1.25,k1_alignment_scale,k1_alignment_z_shift,k1_boundary_f1,k3_point_rel,k3_depth_rel,k3_depth_delta_1.01,k3_depth_delta_1.25,k3_alignment_scale,k3_alignment_z_shift,k3_boundary_f1,k5_point_rel,k5_depth_rel,k5_depth_delta_1.01,k5_depth_delta_1.25,k5_alignment_scale,k5_alignment_z_shift,k5_boundary_f1,k0_crop_point_rel,k0_crop_depth_rel,k0_crop_depth_delta_1.01,k0_crop_depth_delta_1.25,k0_crop_boundary_f1,k0_structure_point_rel,k0_structure_depth_rel,k0_structure_depth_delta_1.01,k0_structure_depth_delta_1.25,k0_structure_boundary_f1,k1_crop_point_rel,k1_crop_depth_rel,k1_crop_depth_delta_1.01,k1_crop_depth_delta_1.25,k1_crop_boundary_f1,k1_structure_point_rel,k1_structure_depth_rel,k1_structure_depth_delta_1.01,k1_structure_depth_delta_1.25,k1_structure_boundary_f1,k3_crop_point_rel,k3_crop_depth_rel,k3_crop_depth_delta_1.01,k3_crop_depth_delta_1.25,k3_crop_boundary_f1,k3_structure_point_rel,k3_structure_depth_rel,k3_structure_depth_delta_1.01,k3_structure_depth_delta_1.25,k3_structure_boundary_f1,k5_crop_point_rel,k5_crop_depth_rel,k5_crop_depth_delta_1.01,k5_crop_depth_delta_1.25,k5_crop_boundary_f1,k5_structure_point_rel,k5_structure_depth_rel,k5_structure_depth_delta_1.01,k5_structure_depth_delta_1.25,k5_structure_boundary_f1
ai_001_001_cam_00_frame.0000,train,ai_001_001,0,0.015143867582082748,0.013398188166320324,0.5213216543197632,0.9998626708984375,2.375182867050171,0.020506858825683594,0.8539453148841858,0.00929749384522438,0.00812947191298008,0.7614390254020691,0.9998423457145691,2.434763193130493,0.0108489990234375,0.8443946838378906,0.012201359495520592,0.01052057184278965,0.72100830078125,0.9989166259765625,2.518932580947876,0.025192737579345703,0.8218724131584167,0.020467005670070648,0.017912283539772034,0.4258626401424408,0.9933980703353882,2.602128744125366,0.03809618949890137,0.7500280141830444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0014,train,ai_001_001,14,0.007504054345190525,0.006356716156005859,0.8680318593978882,0.9989522695541382,2.084052562713623,-0.01754581928253174,0.8891149163246155,0.008136022835969925,0.006781873293220997,0.8887838125228882,0.9991404414176941,2.125778913497925,-0.019428253173828125,0.8604591488838196,0.0073442826978862286,0.005815820302814245,0.9211680293083191,0.9991302490234375,2.207848310470581,-0.021035194396972656,0.8446304202079773,0.007861584424972534,0.00626119552180171,0.885467529296875,0.9990234375,2.293401002883911,-0.021903157234191895,0.856847882270813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0028,train,ai_001_001,28,0.007128773257136345,0.00609563197940588,0.8666433095932007,0.9999186396598816,2.2590043544769287,0.015695571899414062,0.9221713542938232,0.005662447772920132,0.004726841114461422,0.918792724609375,0.9988505244255066,2.297464370727539,0.017732858657836914,0.9241796135902405,0.005039413925260305,0.004382968880236149,0.9484456777572632,0.9984945058822632,2.386841058731079,0.022136211395263672,0.8991754055023193,0.008762779645621777,0.007937759160995483,0.8713633418083191,0.997467041015625,2.482600450515747,0.019365549087524414,0.8593581318855286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0043,train,ai_001_001,43,0.005710942670702934,0.004800293128937483,0.9289398193359375,0.9999542236328125,1.9568144083023071,0.0058858394622802734,0.9122350811958313,0.004961580038070679,0.0040681022219359875,0.9549662470817566,0.99993896484375,1.9913709163665771,0.005797624588012695,0.9153107404708862,0.004282592795789242,0.003613788401708007,0.96142578125,0.9999440908432007,2.0617053508758545,0.006790637969970703,0.8237817287445068,0.006400976330041885,0.005530997179448605,0.8897603750228882,0.9991862177848816,2.137367010116577,0.0077402591705322266,0.7616661787033081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0056,train,ai_001_001,56,0.007214350625872612,0.00622177217155695,0.8363749384880066,0.9998983144760132,1.7264277935028076,0.013072729110717773,0.8851439952850342,0.004955164156854153,0.004175683483481407,0.9505462646484375,0.9999135732650757,1.7542743682861328,0.01024770736694336,0.9019374847412109,0.005087424069643021,0.004266794305294752,0.9445852041244507,0.9987996816635132,1.8207169771194458,0.011069774627685547,0.8804364204406738,0.00883565191179514,0.007669653277844191,0.8401947021484375,0.9983622431755066,1.8903945684432983,0.011963605880737305,0.8515802025794983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0071,train,ai_001_001,71,0.012856538407504559,0.010379180312156677,0.63043212890625,0.9996592402458191,1.67726731300354,0.03162384033203125,0.8932819962501526,0.007231277879327536,0.005867942236363888,0.8541972041130066,0.9996490478515625,1.7207660675048828,0.019414424896240234,0.877920925617218,0.008142037317156792,0.007198909297585487,0.9126027822494507,0.9964498281478882,1.8010259866714478,0.009354591369628906,0.819327175617218,0.018146581947803497,0.015782013535499573,0.4828338623046875,0.9907684326171875,1.8914570808410645,-0.012918591499328613,0.7837424874305725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0085,train,ai_001_001,85,0.009475240483880043,0.008315414190292358,0.8034108877182007,0.9995371699333191,2.1834757328033447,0.015693187713623047,0.9118930697441101,0.005730804055929184,0.004954934120178223,0.9044393301010132,0.9994303584098816,2.21703839302063,0.01767563819885254,0.9151711463928223,0.007043134421110153,0.006132002919912338,0.9112294912338257,0.9947561025619507,2.2910706996917725,0.017377138137817383,0.8385428190231323,0.010292901657521725,0.009086744859814644,0.8378804922103882,0.9935455322265625,2.374424695968628,0.015706300735473633,0.81389981508255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0099,train,ai_001_001,99,0.020020918920636177,0.015412375330924988,0.6312001943588257,0.9931742548942566,2.2747349739074707,-0.08388185501098633,0.9309347867965698,0.014563295058906078,0.010040190070867538,0.8547109365463257,0.9967295527458191,2.3115227222442627,-0.07738423347473145,0.9378932118415833,0.011311991140246391,0.0092098917812109,0.823760986328125,0.9966888427734375,2.3654849529266357,-0.03248786926269531,0.9092086553573608,0.014775708317756653,0.012820316478610039,0.681427001953125,0.9933522939682007,2.447366237640381,-0.024115562438964844,0.8993952870368958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_018_003_cam_00_frame.0000,train,ai_018_003,0,0.018509577959775925,0.016101842746138573,0.41455078125,0.9954122304916382,3.4547247886657715,-0.011181354522705078,0.893461287021637,0.013048115186393261,0.011314896866679192,0.7074839472770691,0.99542236328125,3.510324001312256,0.008535385131835938,0.8927373290061951,0.013352151028811932,0.011408163234591484,0.7531789541244507,0.994537353515625,3.6345808506011963,0.02647113800048828,0.8872153759002686,0.018528703600168228,0.01588592305779457,0.6404215693473816,0.9889678955078125,3.7697670459747314,0.04599452018737793,0.882794201374054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_018_003_cam_00_frame.0014,train,ai_018_003,14,0.017119091004133224,0.015187214128673077,0.5063883662223816,0.9961649775505066,3.469848155975342,0.03492450714111328,0.8305282592773438,0.012483219616115093,0.011304005980491638,0.6135355830192566,0.9963633418083191,3.5512328147888184,0.017032146453857422,0.8233515024185181,0.011659986339509487,0.010497614741325378,0.8056640625,0.9919382929801941,3.6996889114379883,0.0013051033020019531,0.8063967227935791,0.014375276863574982,0.012736231088638306,0.751007080078125,0.9886932373046875,3.853165626525879,-0.01355886459350586,0.7734056115150452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
