step,stage,loss,base_loss,refined_loss,grad_norm,lr_ssr,lr_heads,lr_backbone,base/k1/global,base/k1/local,base/k1/edge,refined/k1/global,refined/k1/local,refined/k1/edge,refined/k2/global,refined/k2/local,refined/k2/edge,refined/k3/global,refined/k3/local,refined/k3/edge
1,detached,0.41420358419418335,0.10344705730676651,0.31075653433799744,1.1305737495422363,2e-05,1e-05,0.0,0.04006289318203926,0.06247543916106224,0.0009087225189432502,0.04006289318203926,0.060000766068696976,0.0009087225189432502,0.04006289318203926,0.06371451914310455,0.0009087225189432502,0.04006289318203926,0.0641263797879219,0.0009087225189432502
2,detached,0.38877618312835693,0.09993918985128403,0.2888369858264923,0.9586340188980103,2e-05,1e-05,0.0,0.03745824843645096,0.06157342717051506,0.0009075202979147434,0.03745334967970848,0.058045677840709686,0.0009078431176021695,0.03745104745030403,0.05768045037984848,0.0009088698425330222,0.03744414821267128,0.05803517624735832,0.0009104055352509022
3,detached,0.38723984360694885,0.09579947590827942,0.29144036769866943,0.8783158659934998,2e-05,1e-05,0.0,0.03577139228582382,0.05911533534526825,0.0009127451339736581,0.03576767444610596,0.06051594763994217,0.0009141872287727892,0.03576433286070824,0.06001339852809906,0.0009174364386126399,0.03576120361685753,0.060864780098199844,0.0009213920566253364
4,detached,0.37939614057540894,0.08947046101093292,0.2899256646633148,0.6930409669876099,2e-05,1e-05,0.0,0.035218968987464905,0.0533418282866478,0.0009096628637053072,0.03522157669067383,0.059608086943626404,0.0009120300528593361,0.035224661231040955,0.062043093144893646,0.0009162139031104743,0.03522802144289017,0.05985076352953911,0.0009212257573381066
5,detached,0.36406204104423523,0.09135467559099197,0.27270737290382385,0.6549302339553833,2e-05,1e-05,0.0,0.035468537360429764,0.054982926696538925,0.0009032147936522961,0.03547568991780281,0.05427347868680954,0.0009058910654857755,0.035483088344335556,0.0553874708712101,0.0009103115880861878,0.03549041226506233,0.05386550724506378,0.0009155255975201726
6,detached,0.3826002776622772,0.09947124123573303,0.2831290364265442,0.8185878992080688,2e-05,1e-05,0.0,0.036067988723516464,0.06250840425491333,0.0008948481408879161,0.03607737272977829,0.059579186141490936,0.0008979112608358264,0.03608684241771698,0.06232650578022003,0.0009020960424095392,0.03609677404165268,0.05025515332818031,0.0009071731474250555
7,detached,0.34543657302856445,0.08765842020511627,0.257778137922287,0.6231268644332886,2e-05,1e-05,0.0,0.036072149872779846,0.05069802701473236,0.0008882427355274558,0.03608096018433571,0.04902084916830063,0.0008915206417441368,0.036090187728405,0.049370452761650085,0.0008959667175076902,0.036099713295698166,0.04842732474207878,0.0009011649526655674
8,detached,0.37655535340309143,0.08724860101938248,0.28930675983428955,0.6328518390655518,2e-05,1e-05,0.0,0.03595390543341637,0.05041171610355377,0.0008829721482470632,0.035961441695690155,0.0592852458357811,0.0008867139695212245,0.03596948832273483,0.05830027908086777,0.0008912121411412954,0.0359794944524765,0.061136260628700256,0.000896644196473062
9,detached,0.3734923005104065,0.08335395157337189,0.2901383638381958,0.6144031882286072,2e-05,1e-05,0.0,0.03570416942238808,0.04677022993564606,0.0008795525063760579,0.03570945933461189,0.06086130812764168,0.0008834445616230369,0.03571608290076256,0.05965609848499298,0.0008880445384420455,0.035723425447940826,0.05980699509382248,0.0008935160003602505
10,detached,0.3371337652206421,0.08532003313302994,0.25181373953819275,0.5216962695121765,2e-05,1e-05,0.0,0.035386163741350174,0.049056150019168854,0.0008777159382589161,0.03539127856492996,0.04757865518331528,0.0008819263894110918,0.03539813682436943,0.04738836735486984,0.0008867817232385278,0.03540648892521858,0.04798948019742966,0.0008926194277592003
