step,loss,grad_norm,k1/global,k1/local,k1/edge,k2/global,k2/local,k2/edge,k3/global,k3/local,k3/edge
1,0.045909082517027855,0.5870240926742554,0.00860579265281558,0.005872485460713506,0.00026782088389154524,0.00860579265281558,0.0053623339626938105,0.00026782088389154524,0.00860579265281558,0.005643035750836134,0.00026782088389154524
2,0.22494931519031525,0.7759395837783813,0.041149357333779335,0.030852568335831165,0.0007024299120530486,0.04114905185997486,0.030328496359288692,0.0007034019799903035,0.041148627176880836,0.03187824971973896,0.0007049075793474913
3,0.11022265255451202,0.7499849200248718,0.019031119532883167,0.014625194016844034,0.0006421221187338233,0.019022919237613678,0.015707756858319044,0.0006436303956434131,0.019014915451407433,0.01509586488828063,0.0006454689428210258
4,0.05292886681854725,1.3329542875289917,0.00949996942654252,0.0065209162421524525,0.000319023325573653,0.009492910001426935,0.00702184671536088,0.000323297776049003,0.009485998190939426,0.007021300029009581,0.0003291605244157836
5,0.06872461177408695,1.217551589012146,0.014305866789072752,0.006408337038010359,0.00035398318141233176,0.01428989740088582,0.007211799034848809,0.00035716083948500454,0.014274082612246275,0.007943755015730858,0.0003615745954448357
6,0.0962434820830822,0.7138016223907471,0.01714347116649151,0.013022072613239288,0.00047307496424764395,0.017132003791630268,0.0131509555503726,0.0004760051815537736,0.017120731063187122,0.012958680745214224,0.00047981063835322857
7,0.10962525382637978,0.7161833643913269,0.022791024297475815,0.012183690443634987,0.0004376876458991319,0.02277340181171894,0.01251092366874218,0.00044135848293080926,0.022756180725991726,0.011309676803648472,0.0004460428172023967
8,0.5135462656617165,0.8906887173652649,0.1257872562855482,0.022747403010725975,0.0008513471111655235,0.1257778573781252,0.047018054872751236,0.0008546408062102273,0.12577195279300213,0.0561855542473495,0.0008585613395553082
9,0.0750196985900402,0.7937572002410889,0.010601010173559189,0.014740808866918087,0.0003778408863581717,0.01059582713060081,0.012530180625617504,0.00038130333996377885,0.010590804740786552,0.01138157770037651,0.00038572787889279425
10,0.06990320980548859,1.3992220163345337,0.012799184303730726,0.00918641360476613,0.00035542929254006594,0.012816459406167269,0.009500399697571993,0.0003583071375032887,0.012834123335778713,0.008463072823360562,0.00036215178261045367
11,0.07456034049391747,1.1124701499938965,0.015416675945743918,0.008293956285342574,0.0003540067409630865,0.015407808125019073,0.008297740248963237,0.0003577294264687225,0.015399191994220018,0.007447701180353761,0.00036257930332794785
12,0.07597258314490318,0.7137361168861389,0.015540413092821836,0.008883468806743622,0.00034788038465194404,0.015535112470388412,0.007650890038348734,0.0003502329345792532,0.015529922675341368,0.00862789188977331,0.00035310832026880234
13,0.06152939423918724,0.9039126038551331,0.010104716755449772,0.009206290356814861,0.0003816264506895095,0.010103794280439615,0.009110476588830352,0.0003842714795609936,0.010103026870638132,0.008286903146654367,0.0003876489936374128
14,0.12423708289861679,0.6708406805992126,0.017809872515499592,0.01999145792797208,0.0006800140545237809,0.01781416591256857,0.02075928822159767,0.0006816654640715569,0.017818603198975325,0.021861161570996046,0.0006839543202659115
15,0.05141715705394745,0.8502063751220703,0.00838019186630845,0.006846754811704159,0.00032384388032369316,0.008377724094316363,0.007549817441031337,0.0003259312506997958,0.008375377859920263,0.007974057458341122,0.00032853336597327143
16,0.10996205359697342,0.4576490819454193,0.018563517834991217,0.016623595263808966,0.00048206979408860207,0.018557540141046047,0.017941840458661318,0.00048304247320629656,0.018551588524132967,0.013926725834608078,0.0004841995978495106
17,0.12209808826446533,1.2846994400024414,0.02359152678400278,0.014760460704565048,0.0004967899149050936,0.023590288124978542,0.014875079970806837,0.0004979202931281179,0.02358906250447035,0.015715619083493948,0.0004993033944629133
18,0.08576477691531181,0.8847094774246216,0.01635337993502617,0.010453274473547935,0.0004622083797585219,0.016352915205061436,0.010318059008568525,0.00046326121082529426,0.01635244209319353,0.010374403093010187,0.0004646057786885649
19,0.0967615507543087,0.3258565068244934,0.018687269650399685,0.007135398918762803,0.00036215619184076786,0.018684582319110632,0.006921033374965191,0.0003629901329986751,0.018681825138628483,0.022294352063909173,0.0003641256334958598
20,0.11084216088056564,1.224392294883728,0.02302152570337057,0.013343199621886015,0.00042301995563320816,0.02301157731562853,0.010845211800187826,0.00042341070366092026,0.023001658730208874,0.012537659611552954,0.00042390014277771115
21,0.0930146798491478,0.9785305261611938,0.01879449049010873,0.010909952223300934,0.00037496330332942307,0.018798569217324257,0.010148865170776844,0.0003758858802029863,0.018802689854055643,0.011048594955354929,0.000377031450625509
22,0.0624949187040329,0.5603145360946655,0.009382504038512707,0.009721373207867146,0.0003792190400417894,0.009381720330566168,0.009953288827091455,0.00038002297515049577,0.00938097620382905,0.010114510543644428,0.00038089475128799677
23,0.5178288519382477,0.9839204549789429,0.11852811463177204,0.03764951229095459,0.0011091541382484138,0.1185296569019556,0.03959102742373943,0.0011095796362496912,0.11853114515542984,0.07168424315750599,0.0011100537958554924
