step,train/point_rel,train/depth_rel,train/depth_delta_1.01,train/depth_delta_1.25,train/boundary_f1,val/point_rel,val/depth_rel,val/depth_delta_1.01,val/depth_delta_1.25,val/boundary_f1
0,0.06090342369861901,0.05411726098100189,0.34023498857277445,0.942622453905642,0.8085876451805234,0.06414470527670346,0.05565687808848452,0.3344591731438413,0.945982662960887,0.8234827499836683
250,0.06028458473156206,0.053478018584428355,0.3460326897329651,0.9433183777146041,0.808560068719089,0.06452448543859646,0.05603475841053296,0.32848942710552365,0.9459821991622448,0.8236042261123657
500,0.06022232727264054,0.05344522245286498,0.3483306340640411,0.9427785836160183,0.8081279648467898,0.06434280813846271,0.05586651011253707,0.32724134606542066,0.9463621014729142,0.8230610387399793
750,0.05981169213191606,0.052920689500751905,0.3559244613570627,0.9438188811764121,0.8065241575241089,0.06486491812393069,0.05627724192163441,0.32285949762444943,0.9459303030744195,0.8199919871985912
1000,0.05960152066836599,0.0526711484126281,0.355798661505105,0.9434197479858994,0.8026533322408795,0.06514999920909759,0.05647720968408976,0.3092381120659411,0.9459304194897413,0.8123725047335029
1250,0.05937135293788742,0.052341361821163446,0.355550393651356,0.9436903691384941,0.8095255987718701,0.06583589872752782,0.05717061890754849,0.29993661754997447,0.9453396815806627,0.8219183059409261
1500,0.05917342942848336,0.052122885463177226,0.3556147737399442,0.9432818738278002,0.8060226812958717,0.06577765873225871,0.05706893726892304,0.29614221554948017,0.9460294591262937,0.8174487706273794
1750,0.05932648012822028,0.0523891182965599,0.36482938317931257,0.9440484954975545,0.8068081624805927,0.06568878641701303,0.05715993352350779,0.3076291934703477,0.9464480355381966,0.8127194540575147
2000,0.05890013375028502,0.05185576100484468,0.3464106912870193,0.9455705541186035,0.8033899217844009,0.06682400949648581,0.058243874344043434,0.26470499808783643,0.945663102902472,0.8111796882003546
