mode,repeat,id,split,scene,frame,iteration,highlighted,max_abs_residual,max_signed_residual,max_row,max_col,p99_abs_residual,p999_abs_residual,mean_abs_residual,pixels_exceeding_threshold,cumulative_max_abs_residual,depth_span,active_voxels
base_eval_ssr_eval,0,ai_001_001_cam_00_frame.0000,train,ai_001_001,0,1,False,0.14306503534317017,-0.14306503534317017,376,41,0.037349700927734375,0.0854472666978836,0.019535042345523834,0,0.14306503534317017,189.0,196608
base_eval_ssr_eval,0,ai_001_001_cam_00_frame.0000,train,ai_001_001,0,2,False,0.12493202090263367,-0.12493202090263367,287,25,0.048628032207489014,0.0848909392952919,0.020837269723415375,0,0.2502673864364624,195.0,196608
base_eval_ssr_eval,0,ai_001_001_cam_00_frame.0000,train,ai_001_001,0,3,False,0.14112816751003265,-0.14112816751003265,381,32,0.0484812967479229,0.09675797075033188,0.021355634555220604,0,0.3460305631160736,196.0,196608
base_eval_ssr_eval,0,ai_001_001_cam_00_frame.0014,train,ai_001_001,14,1,False,0.0869133248925209,-0.0869133248925209,163,366,0.04566711559891701,0.0665343776345253,0.020749781280755997,0,0.0869133248925209,282.0,196608
base_eval_ssr_eval,0,ai_001_001_cam_00_frame.0014,train,ai_001_001,14,2,False,0.11402478814125061,-0.11402478814125061,183,374,0.0417107418179512,0.0615953765809536,0.02109704539179802,0,0.18027245998382568,285.0,196608
base_eval_ssr_eval,0,ai_001_001_cam_00_frame.0014,train,ai_001_001,14,3,False,0.07099712640047073,-0.07099712640047073,167,400,0.031567081809043884,0.04207079857587814,0.020809080451726913,0,0.2096339911222458,286.0,196608
base_eval_ssr_eval,0,ai_001_001_cam_00_frame.0028,train,ai_001_001,28,1,False,0.29621705412864685,-0.29621705412864685,125,354,0.0318944975733757,0.2015039324760437,0.020589735358953476,0,0.29621705412864685,200.0,196608
base_eval_ssr_eval,0,ai_001_001_cam_00_frame.0028,train,ai_001_001,28,2,False,0.15536847710609436,-0.15536847710609436,33,339,0.029063817113637924,0.06751028448343277,0.0196103285998106,0,0.3147507309913635,202.0,196608
base_eval_ssr_eval,0,ai_001_001_cam_00_frame.0028,train,ai_001_001,28,3,False,0.07409261912107468,-0.07409261912107468,111,354,0.027273103594779968,0.03166104108095169,0.019241197034716606,0,0.33365559577941895,203.0,196608
base_eval_ssr_eval,0,ai_001_001_cam_00_frame.0043,train,ai_001_001,43,1,False,0.106197789311409,-0.106197789311409,364,279,0.030224304646253586,0.0798768699169159,0.018835434690117836,0,0.106197789311409,99.0,196608
