snapshot,step,stage,k0/full/point_rel,k0/full/depth_rel,k0/full/depth_delta_1.01,k0/full/depth_delta_1.25,k0/full/boundary_f1,k0/crop/point_rel,k0/crop/depth_rel,k0/crop/depth_delta_1.01,k0/crop/depth_delta_1.25,k0/crop/boundary_f1,k0/structure/point_rel,k0/structure/depth_rel,k0/structure/depth_delta_1.01,k0/structure/depth_delta_1.25,k0/structure/boundary_f1,k1/full/point_rel,k1/full/depth_rel,k1/full/depth_delta_1.01,k1/full/depth_delta_1.25,k1/full/boundary_f1,k1/crop/point_rel,k1/crop/depth_rel,k1/crop/depth_delta_1.01,k1/crop/depth_delta_1.25,k1/crop/boundary_f1,k1/structure/point_rel,k1/structure/depth_rel,k1/structure/depth_delta_1.01,k1/structure/depth_delta_1.25,k1/structure/boundary_f1,k3/full/point_rel,k3/full/depth_rel,k3/full/depth_delta_1.01,k3/full/depth_delta_1.25,k3/full/boundary_f1,k3/crop/point_rel,k3/crop/depth_rel,k3/crop/depth_delta_1.01,k3/crop/depth_delta_1.25,k3/crop/boundary_f1,k3/structure/point_rel,k3/structure/depth_rel,k3/structure/depth_delta_1.01,k3/structure/depth_delta_1.25,k3/structure/boundary_f1,k5/full/point_rel,k5/full/depth_rel,k5/full/depth_delta_1.01,k5/full/depth_delta_1.25,k5/full/boundary_f1,k5/crop/point_rel,k5/crop/depth_rel,k5/crop/depth_delta_1.01,k5/crop/depth_delta_1.25,k5/crop/boundary_f1,k5/structure/point_rel,k5/structure/depth_rel,k5/structure/depth_delta_1.01,k5/structure/depth_delta_1.25,k5/structure/boundary_f1
periodic,0,initial,0.03742309659719467,0.03462597355246544,0.4956563413143158,0.9667307734489441,0.8582285046577454,0.0830521509051323,0.08067122846841812,0.2174750417470932,0.881944477558136,0.8854671716690063,0.08064333349466324,0.07915402948856354,0.0928819477558136,0.9293619990348816,0.6624513268470764,0.03742309659719467,0.03462597355246544,0.4956563413143158,0.9667307734489441,0.8582285046577454,0.0830521509051323,0.08067122846841812,0.2174750417470932,0.881944477558136,0.8854671716690063,0.08064333349466324,0.07915402948856354,0.0928819477558136,0.9293619990348816,0.6624513268470764,0.03742309659719467,0.03462597355246544,0.4956563413143158,0.9667307734489441,0.8582285046577454,0.0830521509051323,0.08067122846841812,0.2174750417470932,0.881944477558136,0.8854671716690063,0.08064333349466324,0.07915402948856354,0.0928819477558136,0.9293619990348816,0.6624513268470764,0.03742309659719467,0.03462597355246544,0.4956563413143158,0.9667307734489441,0.8582285046577454,0.0830521509051323,0.08067122846841812,0.2174750417470932,0.881944477558136,0.8854671716690063,0.08064333349466324,0.07915402948856354,0.0928819477558136,0.9293619990348816,0.6624513268470764
periodic,100,detached,0.017070522531867027,0.01633260026574135,0.8502960205078125,0.9744110107421875,0.8822417855262756,0.05187881365418434,0.050788767635822296,0.6110568642616272,0.903672993183136,0.8698787689208984,0.027090612798929214,0.026537323370575905,0.615234375,0.9818251132965088,0.7212929725646973,0.017029689624905586,0.016292907297611237,0.8511708974838257,0.97442626953125,0.8825048208236694,0.05182488635182381,0.05073457211256027,0.612413227558136,0.9036458134651184,0.870252251625061,0.027053752914071083,0.0265006422996521,0.617296040058136,0.9817708134651184,0.7222775816917419,0.01698285900056362,0.016248464584350586,0.8526052236557007,0.9744059443473816,0.8835515379905701,0.051756542176008224,0.05066582188010216,0.615234375,0.903564453125,0.8719227910041809,0.027008745819330215,0.026454992592334747,0.6204969882965088,0.9816080927848816,0.7252515554428101,0.01697780005633831,0.016244040802121162,0.8535410761833191,0.9744161367416382,0.8834945559501648,0.051732197403907776,0.05064092203974724,0.6171061396598816,0.903564453125,0.8725228905677795,0.026998097077012062,0.026443418115377426,0.6236979365348816,0.9813910722732544,0.7260684967041016
periodic,200,detached,0.01522093079984188,0.014530601911246777,0.8786824941635132,0.975982666015625,0.8766607046127319,0.046344928443431854,0.04537607729434967,0.6857638955116272,0.9117567539215088,0.8565215468406677,0.019403183832764626,0.01902008056640625,0.7171223759651184,0.9844292402267456,0.7408000826835632,0.0150387492030859,0.014349616132676601,0.8873850703239441,0.975982666015625,0.8781985640525818,0.04590112715959549,0.044934116303920746,0.709228515625,0.911729633808136,0.8592429161071777,0.01876085065305233,0.01837988570332527,0.75146484375,0.9843207597732544,0.7474245429039001,0.014912161976099014,0.014218105934560299,0.8945567011833191,0.975921630859375,0.8802919983863831,0.04554726555943489,0.044580914080142975,0.7266438603401184,0.9114583134651184,0.8636112809181213,0.01820550113916397,0.017824802547693253,0.7770724892616272,0.98388671875,0.7588764429092407,0.014905013144016266,0.014210691675543785,0.8971914052963257,0.9759318232536316,0.8816471099853516,0.04547963663935661,0.04451177641749382,0.7313639521598816,0.911485493183136,0.8659641146659851,0.01806429773569107,0.01767909526824951,0.7827690839767456,0.9838324785232544,0.7615096569061279
periodic,300,detached,0.014338265173137188,0.013700450770556927,0.8919016718864441,0.9767863154411316,0.88011234998703,0.04412960261106491,0.04319458454847336,0.7197536826133728,0.9140082597732544,0.857043445110321,0.01706063188612461,0.016704648733139038,0.7697482705116272,0.9850260615348816,0.7500346302986145,0.013959425501525402,0.013329642824828625,0.90887451171875,0.9767659902572632,0.8811071515083313,0.0431785061955452,0.04224570468068123,0.7654079794883728,0.913926899433136,0.8587193489074707,0.015505311079323292,0.015152600593864918,0.8368598222732544,0.9849175214767456,0.7777084708213806,0.013806791976094246,0.013179665431380272,0.91827392578125,0.9767507314682007,0.8842071890830994,0.04274628683924675,0.04181062802672386,0.7907443642616272,0.9140625,0.8619502782821655,0.014636808075010777,0.014280080795288086,0.8763563632965088,0.984971821308136,0.7903378009796143,0.0138613386079669,0.01323813945055008,0.920257568359375,0.9767557978630066,0.8836122155189514,0.04280736669898033,0.04187485948204994,0.7939724326133728,0.9140625,0.8585969805717468,0.014639709144830704,0.014289801008999348,0.880479633808136,0.9849175214767456,0.7875387668609619
periodic,400,detached,0.01406770944595337,0.013294832780957222,0.8963165283203125,0.9774932861328125,0.886047899723053,0.04309224337339401,0.042098429054021835,0.727403461933136,0.9161784052848816,0.8633788228034973,0.016447000205516815,0.016057351604104042,0.7855902910232544,0.9854058027267456,0.755517840385437,0.013412023894488811,0.01265531312674284,0.9195404052734375,0.9775238037109375,0.8893799781799316,0.041402578353881836,0.040425095707178116,0.7869194746017456,0.9163140058517456,0.8693737387657166,0.013894806616008282,0.013520878739655018,0.8759765625,0.9862738847732544,0.8151900768280029,0.01312803290784359,0.012377278879284859,0.9300893545150757,0.9775390625,0.889998197555542,0.0406649149954319,0.039690256118774414,0.8095431923866272,0.9165852665901184,0.8700166344642639,0.012442764826118946,0.012060500681400299,0.9146050214767456,0.9873589277267456,0.8398103713989258,0.013174145482480526,0.012431065551936626,0.9299113154411316,0.977508544921875,0.8852854371070862,0.04071386158466339,0.03974108770489693,0.8052029013633728,0.9163140058517456,0.8627150058746338,0.01239209808409214,0.012008363381028175,0.9118381142616272,0.9872504472732544,0.8417898416519165
periodic,500,detached,0.013571834191679955,0.012981897220015526,0.9004923701286316,0.9781646728515625,0.8889439702033997,0.04181644693017006,0.040926493704319,0.7406412959098816,0.9185926914215088,0.866500198841095,0.016123391687870026,0.01579352281987667,0.7955729365348816,0.98583984375,0.7601804733276367,0.0121366111561656,0.011606547981500626,0.9305166006088257,0.9787241816520691,0.9043927788734436,0.03815237060189247,0.037325143814086914,0.8128255009651184,0.9203559160232544,0.8916680812835693,0.011911864392459393,0.011635747738182545,0.896592915058136,0.9865451455116272,0.86565101146698,0.011472359299659729,0.01095949113368988,0.9453989863395691,0.9789988398551941,0.9092452526092529,0.03601737320423126,0.035206280648708344,0.8468695878982544,0.921630859375,0.895537793636322,0.008213427849113941,0.007940679788589478,0.9403754472732544,0.9920790195465088,0.9006180763244629,0.011499688029289246,0.010983708314597607,0.9459228515625,0.9790446162223816,0.9070977568626404,0.035666052252054214,0.034861546009778976,0.8476833701133728,0.922119140625,0.8888062834739685,0.008047510869801044,0.007775973994284868,0.9409722089767456,0.991807758808136,0.9065334796905518
periodic,600,detached,0.013222778216004372,0.012628575786948204,0.9031524658203125,0.9786529541015625,0.8924165368080139,0.04088195040822029,0.04000616446137428,0.7475314736366272,0.9203830361366272,0.87157142162323,0.015273000113666058,0.014937490224838257,0.8041449785232544,0.9862738847732544,0.7643941640853882,0.011129548773169518,0.01061123888939619,0.9336039423942566,0.9802500605583191,0.9063647985458374,0.03538709878921509,0.03460005670785904,0.820556640625,0.9259440302848816,0.8920210599899292,0.010875396430492401,0.01057911291718483,0.8976237177848816,0.9880099892616272,0.8893263339996338,0.009776887483894825,0.009290065616369247,0.9493560791015625,0.9826304316520691,0.9251568913459778,0.03059428371489048,0.029873311519622803,0.8562554121017456,0.9361708164215088,0.9179750084877014,0.007057806942611933,0.006739980541169643,0.9441189169883728,0.9923502802848816,0.9121599197387695,0.009640539065003395,0.009157489985227585,0.951141357421875,0.9834391474723816,0.9257258176803589,0.02994009479880333,0.029247254133224487,0.8622233271598816,0.939453125,0.9162048101425171,0.007931237109005451,0.007586929481476545,0.95166015625,0.9901258945465088,0.9157332181930542
periodic,700,detached,0.01313207857310772,0.012545640580356121,0.9038747549057007,0.9788767695426941,0.8955236077308655,0.04040752723813057,0.03955574333667755,0.749376118183136,0.9210883378982544,0.8762835264205933,0.014773285947740078,0.014453482814133167,0.8092990517616272,0.986436665058136,0.7697270512580872,0.01078820787370205,0.010282382369041443,0.9328511953353882,0.9811910390853882,0.914947509765625,0.034013304859399796,0.03327130153775215,0.81591796875,0.9297688603401184,0.9036101698875427,0.011065974831581116,0.010780434124171734,0.8914387822151184,0.9885525107383728,0.87298583984375,0.009035629220306873,0.00856733974069357,0.9489542841911316,0.9852752685546875,0.9368351697921753,0.027384664863348007,0.026735255494713783,0.8538411259651184,0.9468587040901184,0.9298239350318909,0.009429931640625,0.009080825373530388,0.932237446308136,0.988878071308136,0.8824509382247925,0.00938776321709156,0.008917363360524178,0.9510040283203125,0.9851430654525757,0.9384512901306152,0.028332313522696495,0.027682019397616386,0.860215961933136,0.947021484375,0.9299197196960449,0.013631084002554417,0.013210748322308064,0.9374457597732544,0.98046875,0.8791676163673401
periodic,800,detached,0.012672170996665955,0.012093119323253632,0.9075571894645691,0.9791768789291382,0.8974205255508423,0.039480142295360565,0.03861113265156746,0.7587619423866272,0.92236328125,0.8787914514541626,0.014390100724995136,0.014031748287379742,0.8175998330116272,0.98681640625,0.7693279385566711,0.010203542187809944,0.009699339047074318,0.9375203847885132,0.9819285273551941,0.9204712510108948,0.032379262149333954,0.03161274269223213,0.8285319209098816,0.9328884482383728,0.9117069244384766,0.010731943883001804,0.010390499606728554,0.8949652910232544,0.9892035722732544,0.8643284440040588,0.008178767748177052,0.00770192127674818,0.954071044921875,0.9866842031478882,0.9445656538009644,0.02451612614095211,0.023839013651013374,0.8696017861366272,0.9529622197151184,0.9419128894805908,0.00984400138258934,0.00940688420087099,0.93701171875,0.9886610507965088,0.8818821310997009,0.008317911066114902,0.007836460135877132,0.9569448232650757,0.9866842031478882,0.9466226696968079,0.02454283833503723,0.023856911808252335,0.882080078125,0.9541829228401184,0.9448695182800293,0.013277477584779263,0.012778394855558872,0.9468315839767456,0.9816623330116272,0.8811708092689514
periodic,900,detached,0.012658685445785522,0.012042488902807236,0.9088338613510132,0.9794413447380066,0.8992812633514404,0.03907964006066322,0.03820056468248367,0.7623426914215088,0.9234212040901184,0.8797751665115356,0.014065024442970753,0.013680323027074337,0.8224826455116272,0.9877387285232544,0.7756016850471497,0.01053672656416893,0.00997589435428381,0.9355367422103882,0.9817911982536316,0.9160683751106262,0.03309516981244087,0.03228477016091347,0.8254123330116272,0.931884765625,0.9063084125518799,0.010688584297895432,0.01031402312219143,0.8997395634651184,0.9892578125,0.8766328692436218,0.008288700133562088,0.007749998476356268,0.9526113271713257,0.9868113398551941,0.9486774206161499,0.024539077654480934,0.023777702823281288,0.8674858808517456,0.9527723789215088,0.9493399858474731,0.0087291169911623,0.00827338919043541,0.9395073652267456,0.9901258945465088,0.889604389667511,0.008220642805099487,0.007679942063987255,0.9545797109603882,0.9874267578125,0.9558978080749512,0.023819783702492714,0.023050101473927498,0.8737521767616272,0.956787109375,0.9628139138221741,0.013203379698097706,0.012658443301916122,0.9446071982383728,0.9811198115348816,0.8774875402450562
