step,train/point_rel,train/depth_rel,train/depth_delta_1.01,train/depth_delta_1.25,train/boundary_f1,val/point_rel,val/depth_rel,val/depth_delta_1.01,val/depth_delta_1.25,val/boundary_f1
0,0.07349634496495128,0.0630310974859943,0.2504615643216918,0.9384124701221784,0.7962314573427042,0.08903866010950878,0.07076855562627316,0.2160824581515044,0.9456039294600487,0.8567267879843712
200,0.07107751459504168,0.060680234959969916,0.28663497883826494,0.9384827613830566,0.796604556341966,0.09161275299265981,0.07195344724459574,0.1829564410727471,0.9479811154305935,0.8490058891475201
400,0.06256015637579064,0.05214178554403285,0.36525046996151406,0.9409258564313253,0.794220590343078,0.09643597318790853,0.07461372809484601,0.1557993267197162,0.9457809925079346,0.8158418983221054
600,0.057118613428125777,0.045816598537688456,0.4118011194902162,0.9497968703508377,0.7890922402342161,0.10404985689092427,0.07879363792017102,0.15902903489768505,0.9315616935491562,0.7911507617682219
800,0.05839429097250104,0.04617606157747408,0.34255071186150116,0.9561232179403305,0.7901425585150719,0.11090330721344799,0.10168409021571279,0.15650246455334127,0.8997350260615349,0.7903889138251543
1000,0.05289891129359603,0.04146096723464628,0.39597763928274315,0.9587765311201414,0.798004354039828,0.10879375762306154,0.09955851512495428,0.15896165068261325,0.8941093068569899,0.8018450830131769
1200,0.04835728586961826,0.037750082245717444,0.473781726633509,0.960117702682813,0.7938351655999819,0.10228348476812243,0.0777216866845265,0.17575698503060266,0.9371553063392639,0.7888338305056095
1400,0.04837332778455069,0.03787928136686484,0.45586028198401135,0.9620822593569756,0.796172920614481,0.1000396729214117,0.07626400253502652,0.1787032544380054,0.940478540956974,0.793124295771122
1600,0.048010484082624316,0.03691292104000846,0.4423647914081812,0.9653900985916456,0.803827111919721,0.10261974367313087,0.07792743213940412,0.17615915171336383,0.9379538558423519,0.7986623197793961
1800,0.04754437583809098,0.03527605401662489,0.4276283209522565,0.9676689654588699,0.8081374317407608,0.10820875293575227,0.07961656828410923,0.15214883838780224,0.9362423159182072,0.7864976758137345
2000,0.047923403326421976,0.036805939472590886,0.4333583191037178,0.9650038753946623,0.8076328635215759,0.10435108724050224,0.0785875691799447,0.17844921024516225,0.9346690699458122,0.7905522454530001
2200,0.04757199991339197,0.037703004432842135,0.42976078235854703,0.965927891433239,0.8045006444056829,0.09601557173300534,0.07391244551399723,0.19679750013165176,0.9452119581401348,0.811335476115346
2400,0.04655733828743299,0.03566526260692626,0.4486496715495984,0.9656648859381676,0.808002399901549,0.09966953028924763,0.07574631238821894,0.18560512270778418,0.9431354813277721,0.7995321173220873
2600,0.045944357252058886,0.03570473601575941,0.4364831615239382,0.9692625204722086,0.8123468744258086,0.09826459980104119,0.07517856120830402,0.1894525762181729,0.9435763992369175,0.8063878621906042
2800,0.04852197680156678,0.03889725586244216,0.4212788254953921,0.9618703971306483,0.809090755879879,0.09692459262441844,0.07442850666120648,0.1998085812665522,0.9448289014399052,0.8008079845458269
3000,0.044350951832408704,0.03339398927831402,0.46296584233641624,0.9712187622984251,0.8120878475407759,0.10002126696053892,0.07604576577432454,0.18563549115788192,0.9424443878233433,0.7933566179126501
3200,0.04407926928251982,0.03363836382050067,0.44966382657488185,0.9720759938160578,0.8206028938293457,0.09890394075773656,0.07569882459938526,0.17216141405515373,0.9446988850831985,0.8044858984649181
3400,0.04395247180946171,0.03349091597677519,0.4497651926552256,0.972789024313291,0.8153354488313198,0.09721789020113647,0.07505267602391541,0.1912208537105471,0.9446210004389286,0.8043577447533607
3600,0.044042559301791094,0.03346838390765091,0.4633005913347006,0.9727068021893501,0.8146000740428766,0.09860592149198055,0.07559717341791838,0.18578894925303757,0.9424583837389946,0.794216725975275
3800,0.042852998905194305,0.0317848299164325,0.4741020326813062,0.9741959397991499,0.8187167818347613,0.09887362434528768,0.07565856142900884,0.18564640334807336,0.9446766339242458,0.8012513276189566
4000,0.044119354958335556,0.0336800393803666,0.4518554511790474,0.9718475813666979,0.8221220461030802,0.0984978984342888,0.07555746962316334,0.189019160810858,0.9440449811518192,0.7993846368044615
