step,train/point_rel,train/depth_rel,train/depth_delta_1.01,train/depth_delta_1.25,train/boundary_f1,val/point_rel,val/depth_rel,val/depth_delta_1.01,val/depth_delta_1.25,val/boundary_f1
0,0.06090342369861901,0.05411726098100189,0.34023498857277445,0.942622453905642,0.8085876451805234,0.06414470527670346,0.05565687808848452,0.3344591731438413,0.945982662960887,0.8234827499836683
250,0.06030438684683759,0.053512197206146084,0.3460841263731709,0.9431664028670639,0.8086381684988737,0.06443914804549422,0.05595404482301092,0.3297663183766417,0.9460307471454144,0.8237864263355732
500,0.060236638848436996,0.05346265849948395,0.34797440574038774,0.9427701772656292,0.8083458757027984,0.06429182742431294,0.055828006712545175,0.3274633311666548,0.9463793253526092,0.8237016294151545
750,0.05991926744172815,0.05310450718388893,0.35211040229478385,0.9434846010990441,0.8083235369995236,0.06453778191644233,0.055990008448134176,0.3288693717913702,0.9460304044187069,0.8231803821399808
1000,0.05987255438230932,0.053013274547993205,0.35053110822627787,0.9432924170978367,0.8047044724225998,0.06471568465349264,0.05614415038144216,0.3210875572403893,0.9459702540189028,0.8176743863150477
1250,0.05971584055805579,0.05283928636345081,0.3493867348297499,0.9433982775080949,0.8009779872372746,0.06502451006963383,0.05648076141369529,0.31660516385454684,0.9455713769420981,0.8226181166246533
1500,0.0594978884619195,0.0525526291312417,0.35064727763528936,0.9431077206972986,0.77685730997473,0.06532425101613626,0.05666760049643926,0.30784880882129073,0.9459692528471351,0.8089624848216772
1750,0.05908508811262436,0.052262312281527556,0.3581770984310424,0.9434724061284214,0.8072968786582351,0.06551031992421485,0.056935355547466315,0.3066714380402118,0.9461224852129817,0.821331781335175
2000,0.058383500057971105,0.05143659144232515,0.36079128192795906,0.9443171692546457,0.793572491966188,0.06614970623923,0.05756273670704104,0.2809744935366325,0.9461505776271224,0.8126473091542721
