step,loss,grad_norm,k1/global,k1/local,k1/edge
1,0.014593239407986403,0.0999252125620842,0.00860579265281558,0.005719625507481396,0.00026782088389154524
2,0.08696853742003441,0.08981209993362427,0.041149357333779335,0.04511675052344799,0.0007024299120530486
3,0.03406297601759434,0.14485426247119904,0.019027911126613617,0.014392511453479528,0.000642553495708853
4,0.017177279572933912,0.11197962611913681,0.009496940765529871,0.007359653944149613,0.0003206847177352756
5,0.022634347900748253,0.20346826314926147,0.014299708418548107,0.007977620232850313,0.0003570198459783569
6,0.03104474674910307,0.12264978885650635,0.01713897380977869,0.013428602367639542,0.0004771704552695155
7,0.034953185357153416,0.11602207273244858,0.022773792501538992,0.01173604978248477,0.00044334349513519555
8,0.15171457175165415,0.15086227655410767,0.12578850612044334,0.02506868587806821,0.0008573738159611821
9,0.023355694487690926,0.04153864458203316,0.010591905331239104,0.012381330132484436,0.0003824587329290807
10,0.02302321558818221,0.19971545040607452,0.012821194715797901,0.009840283077210188,0.0003617382899392396
11,0.024191824719309807,0.12315871566534042,0.015392453176900744,0.008437138516455889,0.0003622330987127498
12,0.02357600722461939,0.120640330016613,0.015544433612376451,0.00767502177041024,0.00035655315878102556
13,0.018671940080821514,0.11310751736164093,0.01010311208665371,0.008178501855581999,0.0003903268079739064
14,0.03937239199876785,0.11082269251346588,0.01781414309516549,0.020872707944363356,0.0006855401443317533
15,0.015682254917919636,0.06061181053519249,0.008362245047464967,0.006989059504121542,0.0003309507737867534
16,0.03592023719102144,0.08064455538988113,0.01855197176337242,0.016879981383681297,0.0004882826760876924
17,0.038346122950315475,0.13932053744792938,0.02353500109165907,0.01430604001507163,0.0005050822219345719
18,0.026211027055978775,0.1121046170592308,0.01636070106178522,0.009381175972521305,0.0004691499925684184
19,0.04057848732918501,0.07744444161653519,0.01867663860321045,0.02152907382696867,0.0003727718722075224
20,0.034030981361866,0.1828954517841339,0.0229483712464571,0.010652484837919474,0.000430125292041339
21,0.029807680286467075,0.153956800699234,0.018810158129781485,0.0106115210801363,0.0003860012366203591
22,0.02017966378480196,0.07533399760723114,0.009381929878145456,0.01041236100718379,0.00038537278305739164
23,0.15757591649889946,0.16654539108276367,0.11853354796767235,0.03792865574359894,0.0011137091205455363
24,0.04223689250648022,0.1116807758808136,0.023549503181129694,0.01807501632720232,0.0006123727362137288
25,0.044280100613832474,0.1861039251089096,0.027933519333600998,0.015820198226720095,0.0005263840139377862
26,0.025409103371202946,0.09228574484586716,0.016015212051570415,0.009018560638651252,0.0003753317869268358
27,0.028560975566506386,0.14619457721710205,0.015936894342303276,0.012132277246564627,0.0004918034537695348
28,0.15895837172865868,0.13153772056102753,0.10164231387898326,0.05636585038155317,0.00095020467415452
29,0.20733238197863102,0.1013159304857254,0.13408935209736228,0.07233599293977022,0.0009070244850590825
30,0.047069950960576534,0.07718145847320557,0.02461448311805725,0.021939200349152088,0.000516267609782517
31,0.039503248408436775,0.1196831688284874,0.027198211755603552,0.011943194549530745,0.0003618428891059011
32,0.02461783029139042,0.04279868304729462,0.0125033650547266,0.011654187925159931,0.0004602777771651745
33,0.04802197404205799,0.1015140563249588,0.027161153964698315,0.02018341701477766,0.0006774032663088292
34,0.03753403387963772,0.09213879704475403,0.020581056363880634,0.016419891733676195,0.0005330843850970268
