step,loss,grad_norm,k1/global,k1/local,k1/edge
1,0.01539670629426837,0.10140006989240646,0.00860579265281558,0.005719630280509591,0.00026782088389154524
2,0.08907581120729446,0.10739879310131073,0.041149357333779335,0.0451167318969965,0.0007024299702607095
3,0.035991210490465164,0.13456416130065918,0.019029174000024796,0.014392548706382513,0.0006423719169106334
4,0.018137232400476933,0.1566832959651947,0.009497910737991333,0.007359276292845607,0.00032001138606574386
5,0.023699299432337284,0.20356352627277374,0.014303119387477636,0.007974856300279498,0.0003553306305548176
6,0.032467737793922424,0.13534405827522278,0.01714178640395403,0.013427472207695246,0.0004746197519125417
7,0.0362738873809576,0.11800418794155121,0.022782801650464535,0.011732280720025301,0.00043970167462248355
8,0.1542669329792261,0.16370877623558044,0.12578799854964018,0.025066305184736848,0.0008531605417374521
9,0.024491597898304462,0.08936947584152222,0.010597332380712032,0.012378263752907515,0.0003790002374444157
10,0.024066178128123283,0.21996119618415833,0.01280749449506402,0.009831414092332125,0.0003568173269741237
11,0.02526509528979659,0.1444937288761139,0.01540894852951169,0.008433106355369091,0.000355760203092359
12,0.024607921950519085,0.1319032907485962,0.015541526954621077,0.007668561884202063,0.00034945859806612134
13,0.019810663536190987,0.1271902173757553,0.010104714892804623,0.008173576556146145,0.00038309305091388524
14,0.04140191711485386,0.10899156332015991,0.017811371944844723,0.02086691278964281,0.0006809079350205138
15,0.0166596882045269,0.09459399431943893,0.008374036056920886,0.0069852788001298904,0.00032509326410945505
16,0.037380753085017204,0.07789837568998337,0.01855954108759761,0.016888878773897886,0.0004830830148421228
17,0.03987211547791958,0.1761864572763443,0.02357858046889305,0.014301340095698833,0.0004980484955012798
18,0.027588186785578728,0.14318251609802246,0.01635321695357561,0.009381359908729792,0.00046340248081833124
19,0.041667455807328224,0.06550166755914688,0.018684455659240484,0.02152969059534371,0.0003633274609455839
20,0.03534884378314018,0.1942032128572464,0.023005408234894276,0.0106480922549963,0.0004238362889736891
21,0.030909059569239616,0.1624305099248886,0.018799152225255966,0.010604680981487036,0.00037630686711054295
22,0.021317146718502045,0.08586622029542923,0.00938240671530366,0.010415262542665005,0.00037986958341207355
23,0.16089124232530594,0.15673714876174927,0.11852552741765976,0.03792737424373627,0.0011095858935732394
24,0.044038550928235054,0.12458834797143936,0.02354723121970892,0.01806662790477276,0.0006061731837689877
25,0.0458889938890934,0.19539214670658112,0.02798831183463335,0.015821639448404312,0.0005197602731641382
26,0.026530520990490913,0.09043452888727188,0.016040747985243797,0.00901777227409184,0.0003679999499581754
27,0.029984917491674423,0.15520037710666656,0.015914953779429197,0.012126960791647434,0.0004857508756686002
28,0.16179026570171118,0.13843996822834015,0.10163741884753108,0.056369585916399956,0.0009458140411879867
29,0.2099822796881199,0.11122100800275803,0.13408077973872423,0.07228125259280205,0.0009050635562743992
30,0.04858649708330631,0.07542958855628967,0.02461713459342718,0.021936469711363316,0.0005082229035906494
31,0.04060317948460579,0.13350741565227509,0.027236468624323606,0.011944304220378399,0.0003556019946699962
32,0.025985728949308395,0.0629936158657074,0.012508550193160772,0.011657445225864649,0.00045493336801882833
33,0.0500392634421587,0.10540664196014404,0.027162394486367702,0.02019128715619445,0.0006713957118336111
34,0.03912873938679695,0.10061413794755936,0.020591634325683117,0.01643399754539132,0.0005257769371382892
35,0.02546837367117405,0.165339395403862,0.01557434955611825,0.008665519068017602,0.0003071262617595494
36,0.04740244708955288,0.10091591626405716,0.027796647045761347,0.017902256455272436,0.0004258857952663675
37,0.03756216913461685,0.13058310747146606,0.020631297025829554,0.014693830162286758,0.0005592601373791695
38,0.0377139076590538,0.0881878137588501,0.024888728745281696,0.010896606370806694,0.0004821427573915571
39,0.030336647294461727,0.11083874851465225,0.01478638919070363,0.013793242163956165,0.0004392541595734656
40,0.043422860093414783,0.1076253205537796,0.022193243727087975,0.019434774992987514,0.0004487098485697061
41,0.03409379813820124,0.1380571722984314,0.017308464739471674,0.014559604227542877,0.0005564319726545364
42,0.02392987161874771,0.13673648238182068,0.012676280923187733,0.00937753077596426,0.0004690149216912687
43,0.02744181454181671,0.0762697234749794,0.01774374907836318,0.008250282146036625,0.00036194617860019207
44,0.025077628903090954,0.12240196019411087,0.013846546411514282,0.00992745440453291,0.0003259072982473299
45,0.12983988877385855,0.0961829423904419,0.10253650229424238,0.023805385222658515,0.0008744993538130075
46,0.014852063730359077,0.12647216022014618,0.007608750369399786,0.005786747206002474,0.0003641416842583567
47,0.021208893042057753,0.16883233189582825,0.01262958673760295,0.007389245787635446,0.0002975151583086699
48,0.044894393533468246,0.1043740063905716,0.018610534258186817,0.0238212114199996,0.0006156620511319488
49,0.02228613942861557,0.18695032596588135,0.010839215945452452,0.009944791905581951,0.0003755327488761395
50,0.01407607807777822,0.12918005883693695,0.006597729632630944,0.006120922742411494,0.0003393564547877759
51,0.13732080813497305,0.14727039635181427,0.10607855208218098,0.027228284161537886,0.0010034927108790725
52,0.038546450436115265,0.14449986815452576,0.02159769181162119,0.015047466848045588,0.0004753230605274439
