arm,status,best_step,train_full_k3_point_rel,train_structure_k3_point_rel,train_structure_relative_reduction,val_full_k3_point_rel,val_structure_k3_point_rel,val_structure_relative_reduction,best_validation_step,best_validation_structure_k3_point_rel,best_validation_structure_relative_reduction,best_validation_full_k3_point_rel,posthoc_complete
lr_2e6,complete,800,0.05909478716552258,0.0678828128806825,0.010751972644906627,0.08934005873743445,0.09172657877206802,0.0347184603709369,800,0.09172657877206802,0.0347184603709369,0.08934005873743445,True
lr_1e5,complete,700,0.050642028180882336,0.05890470381193566,0.14158887095151948,0.09020834823604673,0.09020281583070755,0.05075372798645647,400,0.08639611303806305,0.09081343567189219,0.08926885004620999,True
lr_2e5,complete,700,0.047246286487206815,0.053070448180836324,0.226610773097722,0.09043511678464711,0.08347728848457336,0.12152958683131598,800,0.08175734430551529,0.13962936104575324,0.0944811487570405,True
