arm,training_k,edge_weight,best_step,latest_step,training_seconds,peak_memory_bytes,best_train_point_rel,best_train_depth_rel,best_train_boundary_f1,best_train_point_rel_reduction,best_train_boundary_f1_change,best_train_point_rel_k0,best_train_boundary_f1_k0,best_val_point_rel,best_val_depth_rel,best_val_boundary_f1,best_val_point_rel_reduction,best_val_boundary_f1_change,best_val_point_rel_k0,best_val_boundary_f1_k0,best_test_point_rel,best_test_depth_rel,best_test_boundary_f1,best_test_point_rel_reduction,best_test_boundary_f1_change,best_test_point_rel_k0,best_test_boundary_f1_k0,latest_train_point_rel,latest_train_depth_rel,latest_train_boundary_f1,latest_train_point_rel_reduction,latest_train_boundary_f1_change,latest_train_point_rel_k0,latest_train_boundary_f1_k0,latest_val_point_rel,latest_val_depth_rel,latest_val_boundary_f1,latest_val_point_rel_reduction,latest_val_boundary_f1_change,latest_val_point_rel_k0,latest_val_boundary_f1_k0,latest_test_point_rel,latest_test_depth_rel,latest_test_boundary_f1,latest_test_point_rel_reduction,latest_test_boundary_f1_change,latest_test_point_rel_k0,latest_test_boundary_f1_k0
arm_a_k1_edge1,1,1.0,0,2000,935.9597746781074,4648186368,0.06012116097263061,0.05376735499521601,0.7825617644935846,0.0,0.0,0.06012116097263061,0.7825617644935846,0.06414470527670346,0.05565687808848452,0.8234827499836683,0.0,0.0,0.06414470527670346,0.8234827499836683,0.042414161027409136,0.03718324934015982,0.8190765306353569,0.0,0.0,0.042414161027409136,0.8190765306353569,0.056477126166282685,0.04989912049786653,0.7702489889226853,0.06061151759871741,-0.01231277557089927,0.06012116097263061,0.7825617644935846,0.06615010797395371,0.05756216144072823,0.8126439638435841,-0.031263729229083825,-0.010838786140084267,0.06414470527670346,0.8234827499836683,0.041770057374378666,0.03628441982436925,0.8122446490451694,0.015186051955954794,-0.00683188159018755,0.042414161027409136,0.8190765306353569
arm_b_k1_edge4,1,4.0,0,2000,929.373787094024,4652116480,0.06012116097263061,0.05376735499521601,0.7825617644935846,0.0,0.0,0.06012116097263061,0.7825617644935846,0.06414470527670346,0.05565687808848452,0.8234827499836683,0.0,0.0,0.06414470527670346,0.8234827499836683,0.042414161027409136,0.03718324934015982,0.8190765306353569,0.0,0.0,0.042414161027409136,0.8190765306353569,0.05708979146002093,0.0505366002653318,0.7794607963413,0.05042100757152157,-0.0031009681522845556,0.06012116097263061,0.7825617644935846,0.06581428743083961,0.057316506703500636,0.8177945399656892,-0.02602837049346496,-0.005688210017979145,0.06414470527670346,0.8234827499836683,0.04176315321819857,0.03631359708379023,0.8156487978994846,0.015348831461970192,-0.0034277327358722687,0.042414161027409136,0.8190765306353569
arm_c_k3_edge1,3,1.0,0,2000,2340.408716666978,9744950784,0.06012116097263061,0.05376735499521601,0.7825617644935846,0.0,0.0,0.06012116097263061,0.7825617644935846,0.06414470527670346,0.05565687808848452,0.8234827499836683,0.0,0.0,0.06414470527670346,0.8234827499836683,0.042414161027409136,0.03718324934015982,0.8190765306353569,0.0,0.0,0.042414161027409136,0.8190765306353569,0.05719809357979102,0.05042529438796919,0.7757529506459833,0.04861960989359937,-0.006808813847601347,0.06012116097263061,0.7825617644935846,0.0672559401136823,0.058536757351248525,0.8110835403203964,-0.048503377224320854,-0.012399209663271904,0.06414470527670346,0.8234827499836683,0.043255567958112806,0.03763247295864858,0.812621328048408,-0.019837877499449652,-0.006455202586948872,0.042414161027409136,0.8190765306353569
arm_d_k3_edge4,3,4.0,0,2000,2363.033266216982,9743984640,0.06012116097263061,0.05376735499521601,0.7825617644935846,0.0,0.0,0.06012116097263061,0.7825617644935846,0.06414470527670346,0.05565687808848452,0.8234827499836683,0.0,0.0,0.06414470527670346,0.8234827499836683,0.042414161027409136,0.03718324934015982,0.8190765306353569,0.0,0.0,0.042414161027409136,0.8190765306353569,0.05697066736756824,0.05030887622706359,0.7781637957319617,0.05240240797240403,-0.004397968761622906,0.06012116097263061,0.7825617644935846,0.06682396166434046,0.05824380926787853,0.8111799787729979,-0.04176894064879377,-0.012302771210670471,0.06414470527670346,0.8234827499836683,0.04278866422828287,0.03713466913904995,0.8117175390943885,-0.008829673670350813,-0.007358991540968418,0.042414161027409136,0.8190765306353569
