step,stage,loss,grad_norm,lr_ssr,lr_heads,lr_backbone,base/k1/edge,base/k1/global,base/k1/local,refined/k1/edge,refined/k1/global,refined/k1/local,refined/k2/edge,refined/k2/global,refined/k2/local,refined/k3/edge,refined/k3/global,refined/k3/local,ssr_max_abs_log_depth_residual,ssr_max_depth_span
1,detached_warmup,0.037905409932136536,0.8564158082008362,2e-05,1e-06,0.0,0.0002830674930009991,0.0053781813476234674,0.003738134982995689,0.0002830674930009991,0.0053781813476234674,0.004085717024281621,0.0002830674930009991,0.0053781813476234674,0.0037973292637616396,0.0002830674930009991,0.0053781813476234674,0.0036392317852005363,0.0,297.0
2,detached_warmup,0.030019374564290047,0.7712894082069397,2e-05,1e-06,0.0,0.00026124615396838635,0.00399382587056607,0.003239259822294116,0.0002623705368023366,0.0039904911536723375,0.003288376028649509,0.0002655604184838012,0.003987222444266081,0.0031500192126259208,0.00027057359693571925,0.003984049893915653,0.0033263807417824864,0.00017390013090334833,209.0
3,detached_warmup,0.03135611675679684,0.8712934851646423,2e-05,1e-06,0.0,0.00028145615942776203,0.004046654794365168,0.0035998572129756212,0.0002827966818585992,0.004037430509924889,0.0033941923175007105,0.0002863232512027025,0.004028470255434513,0.0034138784976676106,0.0002914397919084877,0.004019774496555328,0.003673842758871615,0.00018496012489777058,207.0
4,detached_warmup,0.049943869933485985,1.097287893295288,2e-05,1e-06,0.0,0.00028630484302993864,0.007344525074586272,0.004645169945433736,0.0002888867020374164,0.007339887786656618,0.005165301728993654,0.00029589816404040903,0.007335404632613063,0.0047145901480689645,0.00030614987190347165,0.007331035798415542,0.0048907152377069,0.00031975709134712815,296.0
