snapshot,step,stage,k0/full/point_rel,k0/full/depth_rel,k0/full/depth_delta_1.01,k0/full/depth_delta_1.25,k0/full/boundary_f1,k0/crop/point_rel,k0/crop/depth_rel,k0/crop/depth_delta_1.01,k0/crop/depth_delta_1.25,k0/crop/boundary_f1,k0/structure/point_rel,k0/structure/depth_rel,k0/structure/depth_delta_1.01,k0/structure/depth_delta_1.25,k0/structure/boundary_f1,k1/full/point_rel,k1/full/depth_rel,k1/full/depth_delta_1.01,k1/full/depth_delta_1.25,k1/full/boundary_f1,k1/crop/point_rel,k1/crop/depth_rel,k1/crop/depth_delta_1.01,k1/crop/depth_delta_1.25,k1/crop/boundary_f1,k1/structure/point_rel,k1/structure/depth_rel,k1/structure/depth_delta_1.01,k1/structure/depth_delta_1.25,k1/structure/boundary_f1,k3/full/point_rel,k3/full/depth_rel,k3/full/depth_delta_1.01,k3/full/depth_delta_1.25,k3/full/boundary_f1,k3/crop/point_rel,k3/crop/depth_rel,k3/crop/depth_delta_1.01,k3/crop/depth_delta_1.25,k3/crop/boundary_f1,k3/structure/point_rel,k3/structure/depth_rel,k3/structure/depth_delta_1.01,k3/structure/depth_delta_1.25,k3/structure/boundary_f1,k5/full/point_rel,k5/full/depth_rel,k5/full/depth_delta_1.01,k5/full/depth_delta_1.25,k5/full/boundary_f1,k5/crop/point_rel,k5/crop/depth_rel,k5/crop/depth_delta_1.01,k5/crop/depth_delta_1.25,k5/crop/boundary_f1,k5/structure/point_rel,k5/structure/depth_rel,k5/structure/depth_delta_1.01,k5/structure/depth_delta_1.25,k5/structure/boundary_f1
periodic,0,initial,0.09128591418266296,0.08456825464963913,0.1285044401884079,0.9277191162109375,0.9142928719520569,0.10902052372694016,0.10676568746566772,0.1327039897441864,0.9032931923866272,0.9230778813362122,0.12166777998209,0.11833105981349945,0.0836588516831398,0.902940571308136,0.7505564093589783,0.09128591418266296,0.08456825464963913,0.1285044401884079,0.9277191162109375,0.9142928719520569,0.10902052372694016,0.10676568746566772,0.1327039897441864,0.9032931923866272,0.9230778813362122,0.12166777998209,0.11833105981349945,0.0836588516831398,0.902940571308136,0.7505564093589783,0.09128591418266296,0.08456825464963913,0.1285044401884079,0.9277191162109375,0.9142928719520569,0.10902052372694016,0.10676568746566772,0.1327039897441864,0.9032931923866272,0.9230778813362122,0.12166777998209,0.11833105981349945,0.0836588516831398,0.902940571308136,0.7505564093589783,0.09128591418266296,0.08456825464963913,0.1285044401884079,0.9277191162109375,0.9142928719520569,0.10902052372694016,0.10676568746566772,0.1327039897441864,0.9032931923866272,0.9230778813362122,0.12166777998209,0.11833105981349945,0.0836588516831398,0.902940571308136,0.7505564093589783
periodic,100,detached,0.03356093540787697,0.031089678406715393,0.7566274404525757,0.95989990234375,0.9244444370269775,0.04387696459889412,0.04291902855038643,0.6599934697151184,0.9469401240348816,0.9540572166442871,0.034476909786462784,0.03322222828865051,0.7502170205116272,0.9577907919883728,0.7968477010726929,0.03330926597118378,0.03083696961402893,0.7714589834213257,0.9597930908203125,0.9239814877510071,0.043472424149513245,0.04250309243798256,0.681640625,0.9468587040901184,0.9541546106338501,0.03418199345469475,0.03291068598628044,0.7651909589767456,0.9574652910232544,0.7963923811912537,0.03329605981707573,0.030806249007582664,0.7830302119255066,0.9596151113510132,0.9240954518318176,0.04341384023427963,0.04244183376431465,0.6989474892616272,0.9467231035232544,0.9559321403503418,0.03422065079212189,0.032944489270448685,0.7771267294883728,0.9570854902267456,0.8001986742019653,0.03355430066585541,0.031048042699694633,0.7845713496208191,0.95953369140625,0.9240232110023499,0.0437491200864315,0.04277149960398674,0.6975368857383728,0.9464247226715088,0.9565394520759583,0.03466884419322014,0.03338605538010597,0.771104633808136,0.9563801884651184,0.8026631474494934
periodic,200,detached,0.02755621075630188,0.02548689767718315,0.8186594843864441,0.9645233154296875,0.9247324466705322,0.03452605754137039,0.03365342691540718,0.7450629472732544,0.9588215947151184,0.9619942903518677,0.02332349494099617,0.02219117060303688,0.7960612177848816,0.9783528447151184,0.8252378106117249,0.026795685291290283,0.02471647784113884,0.8522440791130066,0.964447021484375,0.9277796745300293,0.03339095413684845,0.03248528391122818,0.7949761152267456,0.9587673544883728,0.965321958065033,0.02261957898736,0.02145438827574253,0.8318142294883728,0.9781901240348816,0.8332333564758301,0.026409000158309937,0.024317055940628052,0.871337890625,0.9643605947494507,0.9258753657341003,0.03276071324944496,0.03182919695973396,0.8205837607383728,0.9588758945465088,0.9610715508460999,0.022356105968356133,0.021168015897274017,0.8492838740348816,0.9779731035232544,0.8364988565444946,0.026456456631422043,0.024363484233617783,0.8747711181640625,0.9642486572265625,0.9231887459754944,0.03275010734796524,0.0318155363202095,0.8255751132965088,0.9589030146598816,0.9578460454940796,0.022555911913514137,0.02136434055864811,0.853515625,0.9778103232383728,0.8369117379188538
periodic,300,detached,0.02514568716287613,0.02313881926238537,0.8243917226791382,0.9676564931869507,0.9338509440422058,0.030908601358532906,0.029990429058670998,0.7539333701133728,0.963731586933136,0.9713100790977478,0.01933681219816208,0.018129361793398857,0.7972005009651184,0.9852430820465088,0.8491507172584534,0.023431217297911644,0.02140604332089424,0.8780874013900757,0.9681498408317566,0.9355794787406921,0.028158171102404594,0.02713094651699066,0.8390299677848816,0.9640842080116272,0.9750455617904663,0.017025385051965714,0.015669235959649086,0.8631184697151184,0.9852973222732544,0.8728531002998352,0.022492628544569016,0.020439907908439636,0.9023183584213257,0.9689280390739441,0.9290513396263123,0.02656620182096958,0.025450577959418297,0.8800455927848816,0.9647352695465088,0.9663800597190857,0.015601894818246365,0.014136758632957935,0.9015299677848816,0.9848090410232544,0.8969467878341675,0.022299086675047874,0.02025473676621914,0.9047750234603882,0.9693807363510132,0.9227050542831421,0.02626013569533825,0.02518744207918644,0.8851996660232544,0.965440571308136,0.960731029510498,0.015483316965401173,0.014107770286500454,0.9044596552848816,0.9847005009651184,0.8917758464813232
periodic,400,detached,0.023957571014761925,0.021983027458190918,0.8151041865348816,0.9701131582260132,0.938859224319458,0.029330696910619736,0.028371596708893776,0.727783203125,0.9669325351715088,0.9723631143569946,0.017717719078063965,0.016427375376224518,0.7477756142616272,0.9908854365348816,0.8522608876228333,0.017467869445681572,0.01570296287536621,0.8819834589958191,0.9796295166015625,0.9429583549499512,0.020635128021240234,0.01962614245712757,0.8234320878982544,0.9760199785232544,0.977791428565979,0.011645850725471973,0.010274999774992466,0.818359375,0.9934895634651184,0.9097048044204712,0.01449991762638092,0.012820256873965263,0.9190725088119507,0.9837290644645691,0.9384544491767883,0.017221232876181602,0.01611900143325329,0.876329243183136,0.9792209267616272,0.9733034372329712,0.010092690587043762,0.00863752979785204,0.8402235507965088,0.9920247197151184,0.9807701706886292,0.014550235122442245,0.012915514409542084,0.9213409423828125,0.98388671875,0.9334238767623901,0.01727525144815445,0.016195686534047127,0.8768988847732544,0.9796549677848816,0.9707930088043213,0.010474100708961487,0.009073354303836823,0.8345268964767456,0.9919704794883728,0.9837242364883423
periodic,500,detached,0.02447935938835144,0.022295664995908737,0.8048909902572632,0.9715678095817566,0.9392766356468201,0.029451344162225723,0.028263423591852188,0.7202419638633728,0.9690212607383728,0.9728473424911499,0.018813930451869965,0.017049826681613922,0.7421875,0.9921875,0.8577311038970947,0.01734844595193863,0.015591785311698914,0.8583120107650757,0.9825032949447632,0.9457350373268127,0.019618868827819824,0.01858835481107235,0.7976616621017456,0.98046875,0.9784008860588074,0.012417091056704521,0.010896962136030197,0.8032768964767456,0.9940863847732544,0.94344162940979,0.015079086646437645,0.013607766479253769,0.875091552734375,0.9871012568473816,0.9416243433952332,0.016935406252741814,0.016049355268478394,0.8179253339767456,0.984971821308136,0.9749552607536316,0.012109016068279743,0.010894743725657463,0.79248046875,0.9933810830116272,0.9774004220962524,0.016612626612186432,0.015110794454813004,0.8721160888671875,0.985015869140625,0.9404515624046326,0.017804179340600967,0.017002185806632042,0.8034396767616272,0.9846462607383728,0.9723735451698303,0.013410496525466442,0.012372070923447609,0.759385883808136,0.9935438632965088,0.9798663854598999
periodic,600,detached,0.026297759264707565,0.023921197280287743,0.7314860224723816,0.9717153310775757,0.9411880373954773,0.030500879511237144,0.029291100800037384,0.6364474892616272,0.9691840410232544,0.970849871635437,0.019922669976949692,0.01815696991980076,0.6558159589767456,0.99267578125,0.8487018346786499,0.017808567732572556,0.01574079692363739,0.8087412714958191,0.9833018183708191,0.9476739168167114,0.018782753497362137,0.017611775547266006,0.7417263388633728,0.9822048544883728,0.9776862263679504,0.01246293168514967,0.010776822455227375,0.723741352558136,0.9958767294883728,0.9412611126899719,0.014744959771633148,0.01278751716017723,0.85687255859375,0.9884898066520691,0.9473270177841187,0.015066307969391346,0.013824714347720146,0.7976887822151184,0.9870063066482544,0.9779366850852966,0.011256017722189426,0.009534792974591255,0.7357313632965088,0.9958224892616272,0.9914541244506836,0.015732182189822197,0.013765322975814342,0.8468221426010132,0.9871673583984375,0.9457389116287231,0.015512612648308277,0.014342688955366611,0.7813313603401184,0.9872775673866272,0.9749845862388611,0.011949820443987846,0.010358464904129505,0.7071940302848816,0.9959309697151184,0.9906574487686157
periodic,700,detached,0.03258940577507019,0.029478929936885834,0.5424855947494507,0.9697214961051941,0.9359107613563538,0.03970472887158394,0.038195326924324036,0.4155544638633728,0.9648708701133728,0.964906632900238,0.02870170585811138,0.026948072016239166,0.4571940004825592,0.9860026240348816,0.8238829374313354,0.022646991536021233,0.01976192556321621,0.6797078847885132,0.9812571406364441,0.9445437788963318,0.02566445805132389,0.024072665721178055,0.5808376669883728,0.9781630039215088,0.975260853767395,0.01798882707953453,0.016232630237936974,0.59375,0.9915364384651184,0.900445818901062,0.018560167402029037,0.01566581428050995,0.8006235957145691,0.9846140742301941,0.9413700699806213,0.019906997680664062,0.01813388802111149,0.71435546875,0.9825032353401184,0.9715132117271423,0.014219909906387329,0.01239152904599905,0.7016059160232544,0.992296040058136,0.970730185508728,0.019489645957946777,0.01655617356300354,0.7905477285385132,0.9834086298942566,0.9382584691047668,0.020019637420773506,0.01827760972082615,0.713487446308136,0.9825032353401184,0.968060314655304,0.014329356141388416,0.012489676475524902,0.706163227558136,0.9920790195465088,0.9722753763198853
periodic,800,detached,1.0820695161819458,1.0,0.0,0.0,0.0,1.0283266305923462,1.0,0.0,0.0,0.0,1.0423243045806885,1.0,0.0,0.0,0.0,1.0820695161819458,1.0,0.0,0.0,0.0,1.0283266305923462,1.0,0.0,0.0,0.0,1.0423243045806885,1.0,0.0,0.0,0.0,1.0820695161819458,1.0,0.0,0.0,0.0,1.0283266305923462,1.0,0.0,0.0,0.0,1.0423243045806885,1.0,0.0,0.0,0.0,1.0820695161819458,1.0,0.0,0.0,0.0,1.0283266305923462,1.0,0.0,0.0,0.0,1.0423243045806885,1.0,0.0,0.0,0.0
periodic,900,detached,1.0820695161819458,1.0,0.0,0.0,0.0,1.0283266305923462,1.0,0.0,0.0,0.0,1.0423243045806885,1.0,0.0,0.0,0.0,1.0820695161819458,1.0,0.0,0.0,0.0,1.0283266305923462,1.0,0.0,0.0,0.0,1.0423243045806885,1.0,0.0,0.0,0.0,1.0820695161819458,1.0,0.0,0.0,0.0,1.0283266305923462,1.0,0.0,0.0,0.0,1.0423243045806885,1.0,0.0,0.0,0.0,1.0820695161819458,1.0,0.0,0.0,0.0,1.0283266305923462,1.0,0.0,0.0,0.0,1.0423243045806885,1.0,0.0,0.0,0.0
