mode,repeat,id,split,scene,frame,iteration,highlighted,max_abs_residual,max_signed_residual,max_row,max_col,p99_abs_residual,p999_abs_residual,mean_abs_residual,pixels_exceeding_threshold,cumulative_max_abs_residual,depth_span,active_voxels
eval,0,ai_001_001_cam_00_frame.0000,train,ai_001_001,0,1,False,0.11920440196990967,-0.11920440196990967,374,42,0.028401881456375122,0.053120631724596024,0.01609591394662857,0,0.11920440196990967,190.0,196608
eval,0,ai_001_001_cam_00_frame.0000,train,ai_001_001,0,2,False,0.11116524785757065,-0.11116524785757065,382,36,0.03126491978764534,0.06491733342409134,0.017137113958597183,0,0.21659094095230103,194.0,196608
eval,0,ai_001_001_cam_00_frame.0000,train,ai_001_001,0,3,False,0.18420805037021637,-0.18420805037021637,370,43,0.029612042009830475,0.10851041227579117,0.017146922647953033,0,0.3556859493255615,199.0,196608
eval,0,ai_001_001_cam_00_frame.0014,train,ai_001_001,14,1,False,0.0795997753739357,-0.0795997753739357,173,368,0.024316396564245224,0.05329972133040428,0.012673923745751381,0,0.0795997753739357,283.0,196608
eval,0,ai_001_001_cam_00_frame.0014,train,ai_001_001,14,2,False,0.055210188031196594,-0.055210188031196594,167,400,0.017635304480791092,0.037784475833177567,0.012175453826785088,0,0.11879660189151764,283.0,196608
eval,0,ai_001_001_cam_00_frame.0014,train,ai_001_001,14,3,False,0.030126426368951797,-0.030126426368951797,189,362,0.016281848773360252,0.02023298293352127,0.012090062722563744,0,0.1334487795829773,284.0,196608
eval,0,ai_001_001_cam_00_frame.0028,train,ai_001_001,28,1,False,0.04209151118993759,-0.04209151118993759,9,329,0.01831035315990448,0.020841438323259354,0.011139532551169395,0,0.04209151118993759,201.0,196608
eval,0,ai_001_001_cam_00_frame.0028,train,ai_001_001,28,2,False,0.030924102291464806,-0.030924102291464806,8,335,0.01640673540532589,0.018154429271817207,0.010688936337828636,0,0.07131939381361008,199.0,196608
eval,0,ai_001_001_cam_00_frame.0028,train,ai_001_001,28,3,False,0.022639920935034752,-0.022639920935034752,126,4,0.01678183674812317,0.019306153059005737,0.010671477764844894,0,0.07918898016214371,198.0,196608
eval,0,ai_001_001_cam_00_frame.0043,train,ai_001_001,43,1,False,0.08187828958034515,-0.08187828958034515,364,279,0.02057967707514763,0.06281986832618713,0.010587199591100216,0,0.08187828958034515,99.0,196608
eval,0,ai_001_001_cam_00_frame.0043,train,ai_001_001,43,2,False,0.06119479238986969,-0.06119479238986969,365,216,0.01644214242696762,0.040435295552015305,0.010118845850229263,0,0.1282782405614853,100.0,196608
eval,0,ai_001_001_cam_00_frame.0043,train,ai_001_001,43,3,False,0.03344079852104187,-0.03344079852104187,364,216,0.015099647454917431,0.02061440609395504,0.009929895401000977,0,0.15818019211292267,100.0,196608
eval,0,ai_001_001_cam_00_frame.0056,train,ai_001_001,56,1,False,0.1576050966978073,-0.1576050966978073,366,484,0.03476771339774132,0.11310352385044098,0.01280467864125967,0,0.1576050966978073,125.0,196608
eval,0,ai_001_001_cam_00_frame.0056,train,ai_001_001,56,2,False,0.09943532198667526,-0.09943532198667526,377,486,0.02305607870221138,0.06405539065599442,0.012388136237859726,0,0.20093733072280884,125.0,196608
eval,0,ai_001_001_cam_00_frame.0056,train,ai_001_001,56,3,False,0.03133264556527138,-0.03133264556527138,367,421,0.021949755027890205,0.02851126529276371,0.012444838881492615,0,0.2063363492488861,128.0,196608
eval,0,ai_001_001_cam_00_frame.0071,train,ai_001_001,71,1,False,0.11103542894124985,-0.11103542894124985,10,132,0.029447194188833237,0.06450758129358292,0.01480012759566307,0,0.11103542894124985,253.0,196608
eval,0,ai_001_001_cam_00_frame.0071,train,ai_001_001,71,2,False,0.07247046381235123,-0.07247046381235123,13,137,0.024310342967510223,0.04919416457414627,0.014144891873002052,0,0.155587300658226,250.0,196608
eval,0,ai_001_001_cam_00_frame.0071,train,ai_001_001,71,3,False,0.04519147425889969,-0.04519147425889969,3,472,0.021615926176309586,0.03775167465209961,0.013639891520142555,0,0.1892314851284027,247.0,196608
eval,0,ai_001_001_cam_00_frame.0085,train,ai_001_001,85,1,False,0.15720711648464203,-0.15720711648464203,158,474,0.06353198736906052,0.13258668780326843,0.014887242577970028,0,0.15720711648464203,177.0,196608
eval,0,ai_001_001_cam_00_frame.0085,train,ai_001_001,85,2,False,0.05018218606710434,-0.05018218606710434,149,452,0.027685143053531647,0.03268943727016449,0.013192828744649887,0,0.17445507645606995,177.0,196608
eval,0,ai_001_001_cam_00_frame.0085,train,ai_001_001,85,3,False,0.03355333209037781,-0.03355333209037781,64,472,0.026078471913933754,0.028957314789295197,0.013089366257190704,0,0.18932990729808807,178.0,196608
eval,0,ai_001_001_cam_00_frame.0099,train,ai_001_001,99,1,False,0.1856689304113388,-0.1856689304113388,369,493,0.05786728858947754,0.153250053524971,0.015980880707502365,0,0.1856689304113388,310.0,196608
eval,0,ai_001_001_cam_00_frame.0099,train,ai_001_001,99,2,False,0.2682904303073883,-0.2682904303073883,369,494,0.05735773593187332,0.19564862549304962,0.015606937929987907,0,0.41997230052948,332.0,196608
eval,0,ai_001_001_cam_00_frame.0099,train,ai_001_001,99,3,False,0.5682986378669739,-0.5682986378669739,376,497,0.045254699885845184,0.35501185059547424,0.015316120348870754,10,0.8706419467926025,375.0,196608
eval,0,ai_018_003_cam_00_frame.0000,train,ai_018_003,0,1,False,0.0838911160826683,-0.0838911160826683,300,438,0.046063121408224106,0.0652465745806694,0.015530991367995739,0,0.0838911160826683,375.0,196608
eval,0,ai_018_003_cam_00_frame.0000,train,ai_018_003,0,2,False,0.06175626814365387,-0.06175626814365387,302,428,0.03013431653380394,0.03796590119600296,0.015014760196208954,0,0.13118964433670044,375.0,196608
eval,0,ai_018_003_cam_00_frame.0000,train,ai_018_003,0,3,False,0.047302454710006714,-0.047302454710006714,303,428,0.026190124452114105,0.031397540122270584,0.014532208442687988,0,0.17094971239566803,376.0,196608
eval,0,ai_018_003_cam_00_frame.0014,train,ai_018_003,14,1,False,0.07651550322771072,-0.07651550322771072,362,494,0.03255193307995796,0.067023865878582,0.0121792983263731,0,0.07651550322771072,461.0,196608
eval,0,ai_018_003_cam_00_frame.0014,train,ai_018_003,14,2,False,0.04924879968166351,-0.04924879968166351,248,30,0.03160044550895691,0.041005540639162064,0.012126120738685131,0,0.11401943862438202,463.0,196608
eval,0,ai_018_003_cam_00_frame.0014,train,ai_018_003,14,3,False,0.08505009114742279,-0.08505009114742279,373,492,0.02965123951435089,0.07194697111845016,0.012474291026592255,0,0.1917402744293213,469.0,196608
eval,0,ai_018_003_cam_00_frame.0028,train,ai_018_003,28,1,False,0.27981680631637573,-0.27981680631637573,237,143,0.11331625282764435,0.2160777896642685,0.01908963732421398,0,0.27981680631637573,384.0,196608
eval,0,ai_018_003_cam_00_frame.0028,train,ai_018_003,28,2,False,0.41729310154914856,-0.41729310154914856,136,137,0.09823448210954666,0.31686148047447205,0.017913423478603363,0,0.590811550617218,383.0,196608
eval,0,ai_018_003_cam_00_frame.0028,train,ai_018_003,28,3,False,0.35565105080604553,-0.35565105080604553,88,134,0.04956367611885071,0.20688225328922272,0.016385769471526146,0,0.7153669595718384,383.0,196608
eval,0,ai_018_003_cam_00_frame.0042,train,ai_018_003,42,1,False,0.12963204085826874,0.12963204085826874,352,298,0.08374505490064621,0.10737942904233932,0.016313159838318825,0,0.12963204085826874,402.0,196608
eval,0,ai_018_003_cam_00_frame.0042,train,ai_018_003,42,2,False,0.13264451920986176,0.13264451920986176,345,301,0.06832613795995712,0.08617294579744339,0.014749917201697826,0,0.21772971749305725,401.0,196608
eval,0,ai_018_003_cam_00_frame.0042,train,ai_018_003,42,3,False,0.10827626287937164,-0.10827626287937164,377,387,0.060027871280908585,0.08821842074394226,0.014504941180348396,0,0.2805136442184448,400.0,196608
eval,0,ai_018_003_cam_00_frame.0057,train,ai_018_003,57,1,False,0.14293740689754486,-0.14293740689754486,273,198,0.0392729789018631,0.08334828913211823,0.018586333841085434,0,0.14293740689754486,292.0,196608
eval,0,ai_018_003_cam_00_frame.0057,train,ai_018_003,57,2,False,0.08546141535043716,-0.08546141535043716,266,195,0.03047456219792366,0.06412825733423233,0.016965635120868683,0,0.19104282557964325,288.0,196608
eval,0,ai_018_003_cam_00_frame.0057,train,ai_018_003,57,3,False,0.09933764487504959,-0.09933764487504959,261,193,0.028514059260487556,0.06379199028015137,0.016533471643924713,0,0.23948374390602112,286.0,196608
eval,0,ai_018_003_cam_00_frame.0071,train,ai_018_003,71,1,False,0.12846925854682922,-0.12846925854682922,55,501,0.03515937551856041,0.07530376315116882,0.01838570646941662,0,0.12846925854682922,416.0,196608
eval,0,ai_018_003_cam_00_frame.0071,train,ai_018_003,71,2,False,0.07739691436290741,-0.07739691436290741,238,426,0.02492298185825348,0.0339273177087307,0.017462793737649918,0,0.147428959608078,416.0,196608
eval,0,ai_018_003_cam_00_frame.0071,train,ai_018_003,71,3,False,0.03627708926796913,-0.03627708926796913,230,485,0.023757759481668472,0.03003188595175743,0.017821744084358215,0,0.15641821920871735,417.0,196608
eval,0,ai_018_003_cam_00_frame.0085,train,ai_018_003,85,1,False,0.14308005571365356,-0.14308005571365356,278,15,0.07556989043951035,0.10391339659690857,0.023086300119757652,0,0.14308005571365356,406.0,196608
eval,0,ai_018_003_cam_00_frame.0085,train,ai_018_003,85,2,False,0.11570319533348083,-0.11570319533348083,274,23,0.06394422054290771,0.09522496908903122,0.022465337067842484,0,0.22452543675899506,413.0,196608
eval,0,ai_018_003_cam_00_frame.0085,train,ai_018_003,85,3,False,0.10722861438989639,-0.10722861438989639,250,3,0.06768441200256348,0.09496497362852097,0.023183530196547508,0,0.316925585269928,421.0,196608
eval,0,ai_018_003_cam_00_frame.0099,train,ai_018_003,99,1,False,0.09430288523435593,-0.09430288523435593,190,68,0.041096244007349014,0.06602732837200165,0.014173234812915325,0,0.09430288523435593,358.0,196608
eval,0,ai_018_003_cam_00_frame.0099,train,ai_018_003,99,2,False,0.10570824146270752,-0.10570824146270752,189,66,0.03178143501281738,0.08037272095680237,0.014048309996724129,0,0.19066189229488373,356.0,196608
eval,0,ai_018_003_cam_00_frame.0099,train,ai_018_003,99,3,False,0.09352582693099976,-0.09352582693099976,196,64,0.023265797644853592,0.06324354559183121,0.012841425836086273,0,0.25093787908554077,354.0,196608
eval,0,ai_036_002_cam_00_frame.0000,train,ai_036_002,0,1,False,0.24552185833454132,-0.24552185833454132,283,21,0.07769664376974106,0.19396835565567017,0.021563028916716576,0,0.24552185833454132,467.0,196608
eval,0,ai_036_002_cam_00_frame.0000,train,ai_036_002,0,2,False,0.22818982601165771,-0.22818982601165771,279,33,0.0809360072016716,0.13893821835517883,0.019902534782886505,0,0.39332008361816406,465.0,196608
eval,0,ai_036_002_cam_00_frame.0000,train,ai_036_002,0,3,False,0.11422177404165268,-0.11422177404165268,324,458,0.06860768795013428,0.09213794022798538,0.01904742419719696,0,0.42215976119041443,465.0,196608
eval,0,ai_036_002_cam_00_frame.0014,train,ai_036_002,14,1,False,0.28806307911872864,-0.28806307911872864,325,106,0.2023478001356125,0.23085066676139832,0.023968545719981194,0,0.28806307911872864,361.0,196608
eval,0,ai_036_002_cam_00_frame.0014,train,ai_036_002,14,2,False,0.32621023058891296,-0.32621023058891296,313,98,0.1780284196138382,0.2501300275325775,0.022886469960212708,0,0.5079402923583984,393.0,196608
eval,0,ai_036_002_cam_00_frame.0014,train,ai_036_002,14,3,False,0.3379019796848297,-0.3379019796848297,378,105,0.17914935946464539,0.24846984446048737,0.022152148187160492,0,0.7220393419265747,438.0,196608
eval,0,ai_036_002_cam_00_frame.0028,train,ai_036_002,28,1,False,0.052759140729904175,-0.052759140729904175,142,193,0.02960462123155594,0.04130275547504425,0.016767269000411034,0,0.052759140729904175,232.0,196608
eval,0,ai_036_002_cam_00_frame.0028,train,ai_036_002,28,2,False,0.05494709312915802,-0.05494709312915802,165,185,0.028740042820572853,0.03565388545393944,0.016798119992017746,0,0.09411929547786713,230.0,196608
eval,0,ai_036_002_cam_00_frame.0028,train,ai_036_002,28,3,False,0.048739753663539886,-0.048739753663539886,163,188,0.027774643152952194,0.031196029856801033,0.01664847508072853,0,0.1355094611644745,229.0,196608
eval,0,ai_036_002_cam_00_frame.0042,train,ai_036_002,42,1,False,0.11407531052827835,-0.11407531052827835,30,246,0.030297230929136276,0.0576966367661953,0.018220409750938416,0,0.11407531052827835,161.0,196608
eval,0,ai_036_002_cam_00_frame.0042,train,ai_036_002,42,2,False,0.07020977139472961,-0.07020977139472961,38,255,0.03311481326818466,0.0426161028444767,0.018016807734966278,0,0.16241073608398438,156.0,196608
eval,0,ai_036_002_cam_00_frame.0042,train,ai_036_002,42,3,False,0.054534487426280975,-0.054534487426280975,378,480,0.030694443732500076,0.04318472743034363,0.01863020472228527,0,0.2035927176475525,153.0,196608
eval,0,ai_036_002_cam_00_frame.0057,train,ai_036_002,57,1,False,0.2883598506450653,-0.2883598506450653,353,107,0.031723808497190475,0.22635386884212494,0.017703581601381302,0,0.2883598506450653,316.0,196608
eval,0,ai_036_002_cam_00_frame.0057,train,ai_036_002,57,2,False,0.46960029006004333,-0.46960029006004333,355,105,0.041674282401800156,0.28839313983917236,0.01889755390584469,0,0.6986786723136902,357.0,196608
eval,0,ai_036_002_cam_00_frame.0057,train,ai_036_002,57,3,False,0.17383116483688354,-0.17383116483688354,360,98,0.0334879606962204,0.12046489119529724,0.01762220822274685,0,0.7127891778945923,436.0,196608
eval,0,ai_036_002_cam_00_frame.0071,train,ai_036_002,71,1,False,0.18567588925361633,-0.18567588925361633,371,167,0.056668251752853394,0.10333485156297684,0.019733797758817673,0,0.18567588925361633,230.0,196608
eval,0,ai_036_002_cam_00_frame.0071,train,ai_036_002,71,2,False,0.22895732522010803,-0.22895732522010803,375,165,0.05003221333026886,0.08738405257463455,0.0187250766903162,0,0.3338007628917694,229.0,196608
eval,0,ai_036_002_cam_00_frame.0071,train,ai_036_002,71,3,False,0.12779749929904938,-0.12779749929904938,362,164,0.03940964862704277,0.0771520733833313,0.019898995757102966,0,0.3915647864341736,232.0,196608
eval,0,ai_036_002_cam_00_frame.0085,train,ai_036_002,85,1,False,0.2502714991569519,-0.2502714991569519,342,181,0.11593131721019745,0.1708986908197403,0.025817884132266045,0,0.2502714991569519,336.0,196608
eval,0,ai_036_002_cam_00_frame.0085,train,ai_036_002,85,2,False,0.3880440294742584,-0.3880440294742584,346,182,0.11767522245645523,0.21278758347034454,0.02230733633041382,0,0.5790784358978271,331.0,196608
