sample_directory,sample_id,snapshot,step,training_stage,k,scope,point_rel,depth_rel,depth_delta_1.01,depth_delta_1.25,boundary_f1
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,initial,0,initial,0,crop,0.07926885783672333,0.0761057510972023,0.17985065281391144,0.9282009601593018,0.7443040609359741
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,initial,0,initial,0,structure,0.06855541467666626,0.064018115401268,0.2093629390001297,0.9745288491249084,0.4126317501068115
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,initial,0,initial,1,full,0.08209394663572311,0.07726428657770157,0.26069217920303345,0.8848801255226135,0.47751644253730774
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,initial,0,initial,1,crop,0.07926885783672333,0.0761057510972023,0.17985065281391144,0.9282009601593018,0.7443040609359741
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,initial,0,initial,1,structure,0.06855541467666626,0.064018115401268,0.2093629390001297,0.9745288491249084,0.4126317501068115
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,initial,0,initial,3,full,0.08209394663572311,0.07726428657770157,0.26069217920303345,0.8848801255226135,0.47751644253730774
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,initial,0,initial,3,crop,0.07926885783672333,0.0761057510972023,0.17985065281391144,0.9282009601593018,0.7443040609359741
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,initial,0,initial,3,structure,0.06855541467666626,0.064018115401268,0.2093629390001297,0.9745288491249084,0.4126317501068115
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,initial,0,initial,5,full,0.08209394663572311,0.07726428657770157,0.26069217920303345,0.8848801255226135,0.47751644253730774
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,initial,0,initial,5,crop,0.07926885783672333,0.0761057510972023,0.17985065281391144,0.9282009601593018,0.7443040609359741
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,initial,0,initial,5,structure,0.06855541467666626,0.064018115401268,0.2093629390001297,0.9745288491249084,0.4126317501068115
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,stage1,2000,detached,0,full,0.017359856516122818,0.015430239960551262,0.6230738162994385,0.9930101037025452,0.8219345211982727
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,stage1,2000,detached,0,crop,0.018529826775193214,0.017133181914687157,0.47494909167289734,0.9929938912391663,0.9415526986122131
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,stage1,2000,detached,0,structure,0.01710948348045349,0.015719464048743248,0.3569217324256897,0.9984250068664551,0.7675890326499939
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,stage1,2000,detached,1,full,0.015660056844353676,0.01373787596821785,0.6384272575378418,0.994032621383667,0.859411358833313
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,stage1,2000,detached,1,crop,0.01397749874740839,0.012593170627951622,0.5767549276351929,0.9966327548027039,0.969378650188446
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,stage1,2000,detached,1,structure,0.013622342608869076,0.01230840664356947,0.4452832043170929,0.9998913407325745,0.8973360061645508
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,stage1,2000,detached,3,full,0.01259345281869173,0.01068960316479206,0.7225045561790466,0.9942514300346375,0.9035576581954956
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,stage1,2000,detached,3,crop,0.010804065503180027,0.009404934011399746,0.7084046006202698,0.9970672130584717,0.9807242155075073
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,stage1,2000,detached,3,structure,0.010639358311891556,0.009372692555189133,0.6160864233970642,0.9997827410697937,0.9819260835647583
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,stage1,2000,detached,5,full,0.012959836050868034,0.010944226756691933,0.7256332635879517,0.9948262572288513,0.9200479984283447
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,stage1,2000,detached,5,crop,0.010357278399169445,0.009008361026644707,0.756361186504364,0.9969857335090637,0.9765244126319885
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,stage1,2000,detached,5,structure,0.00966565776616335,0.008475707843899727,0.7178623676300049,0.9997284412384033,0.9824182987213135
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,final,2200,joint_best,0,full,0.017095832154154778,0.015873095020651817,0.6541061997413635,0.9929541349411011,0.8201402425765991
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,final,2200,joint_best,0,crop,0.018047140911221504,0.017443131655454636,0.4660964012145996,0.99277663230896,0.9309486746788025
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,final,2200,joint_best,0,structure,0.014283038675785065,0.013669607229530811,0.48606961965560913,0.9985879063606262,0.7540792226791382
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,final,2200,joint_best,1,full,0.015428159385919571,0.014214460738003254,0.653465211391449,0.9941394925117493,0.8630769848823547
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,final,2200,joint_best,1,crop,0.015177156776189804,0.01462771650403738,0.47511202096939087,0.9968499541282654,0.9661587476730347
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,final,2200,joint_best,1,structure,0.01135244220495224,0.010676941834390163,0.6088089942932129,0.9998913407325745,0.8953219652175903
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,final,2200,joint_best,3,full,0.01148639339953661,0.010440018959343433,0.7524533271789551,0.9965711832046509,0.9098633527755737
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,final,2200,joint_best,3,crop,0.011349333450198174,0.010862368158996105,0.6202308535575867,0.9972572922706604,0.9812938570976257
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,final,2200,joint_best,3,structure,0.007379454560577869,0.0067898789420723915,0.772551953792572,0.9998913407325745,0.9781726002693176
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,final,2200,joint_best,5,full,0.013942253775894642,0.012837422080338001,0.809156060218811,0.994419276714325,0.9263217449188232
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,final,2200,joint_best,5,crop,0.008402111940085888,0.007767730392515659,0.7976374626159668,0.9971486926078796,0.9816024899482727
04_ai_054_008_cam_00_frame.0000,ai_054_008_cam_00_frame.0000,final,2200,joint_best,5,structure,0.005080610513687134,0.004340709652751684,0.9457448124885559,0.9997284412384033,0.982771098613739
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,initial,0,initial,0,full,0.1455439031124115,0.12164153903722763,0.3094492256641388,0.8377012014389038,0.9484434723854065
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,initial,0,initial,0,crop,0.140702024102211,0.12738123536109924,0.23574258387088776,0.8553096055984497,0.9609407186508179
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,initial,0,initial,0,structure,0.1906721591949463,0.17074811458587646,0.08850181847810745,0.841879665851593,0.6123239398002625
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,initial,0,initial,1,full,0.1455439031124115,0.12164153903722763,0.3094492256641388,0.8377012014389038,0.9484434723854065
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,initial,0,initial,1,crop,0.140702024102211,0.12738123536109924,0.23574258387088776,0.8553096055984497,0.9609407186508179
