step,train/k0_point_rel,train/k0_depth_rel,train/k0_depth_delta_1.01,train/k0_depth_delta_1.25,train/k0_boundary_f1,train/k0_crop_point_rel,train/k0_crop_depth_rel,train/k0_crop_depth_delta_1.01,train/k0_crop_depth_delta_1.25,train/k0_crop_boundary_f1,train/k0_structure_point_rel,train/k0_structure_depth_rel,train/k0_structure_depth_delta_1.01,train/k0_structure_depth_delta_1.25,train/k0_structure_boundary_f1,val/k0_point_rel,val/k0_depth_rel,val/k0_depth_delta_1.01,val/k0_depth_delta_1.25,val/k0_boundary_f1,val/k0_crop_point_rel,val/k0_crop_depth_rel,val/k0_crop_depth_delta_1.01,val/k0_crop_depth_delta_1.25,val/k0_crop_boundary_f1,val/k0_structure_point_rel,val/k0_structure_depth_rel,val/k0_structure_depth_delta_1.01,val/k0_structure_depth_delta_1.25,val/k0_structure_boundary_f1,train/k3_point_rel,train/k3_depth_rel,train/k3_depth_delta_1.01,train/k3_depth_delta_1.25,train/k3_boundary_f1,train/k3_crop_point_rel,train/k3_crop_depth_rel,train/k3_crop_depth_delta_1.01,train/k3_crop_depth_delta_1.25,train/k3_crop_boundary_f1,train/k3_structure_point_rel,train/k3_structure_depth_rel,train/k3_structure_depth_delta_1.01,train/k3_structure_depth_delta_1.25,train/k3_structure_boundary_f1,val/k3_point_rel,val/k3_depth_rel,val/k3_depth_delta_1.01,val/k3_depth_delta_1.25,val/k3_boundary_f1,val/k3_crop_point_rel,val/k3_crop_depth_rel,val/k3_crop_depth_delta_1.01,val/k3_crop_depth_delta_1.25,val/k3_crop_boundary_f1,val/k3_structure_point_rel,val/k3_structure_depth_rel,val/k3_structure_depth_delta_1.01,val/k3_structure_depth_delta_1.25,val/k3_structure_boundary_f1
0,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104
100,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104,0.05933352462016046,0.04982735940720886,0.3267501151561737,0.957391266822815,0.8002403834462166,0.09013989328775766,0.07862607670842477,0.23448111531588267,0.9129640932353038,0.7877508840470944,0.06809080070552398,0.056683061591718556,0.23818723348250506,0.9643081584066715,0.6123755658572575,0.08920252480311319,0.07052398478845134,0.2118561607785523,0.9467289447784424,0.8568688444793224,0.07520808279514313,0.07401898503303528,0.0563422329723835,0.9776204228401184,0.8561944365501404,0.09284000843763351,0.09128034114837646,0.0393337681889534,0.9785698652267456,0.7502351999282837
200,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104,0.059115485772490504,0.04957806306425482,0.33164370119571684,0.9575378102064133,0.800357982814312,0.08998693406300724,0.07844832427096816,0.24179097546159095,0.9129349431901608,0.787789615538885,0.06791558573549648,0.05646495405092554,0.24670659460100997,0.9643828374034954,0.6120903299383398,0.08928786317119375,0.07041088631376624,0.20851606968790293,0.9478024691343307,0.8572500310838223,0.0747206062078476,0.07357263565063477,0.0517306849360466,0.977647602558136,0.856199324131012,0.09195450693368912,0.09045269340276718,0.0388997383415699,0.9785698652267456,0.7464814186096191
300,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104,0.058768448159098624,0.04922054069582373,0.3418268147110939,0.9575925773382187,0.7994894909858704,0.08987790416434126,0.07829302099515807,0.24225015773104047,0.9129000092452427,0.7865734150949514,0.0677314293658677,0.05619519383136956,0.25045853941333435,0.9645070253678087,0.6106480315046491,0.0892596646444872,0.07036176329711452,0.20156563608907163,0.9481600932776928,0.8562478385865688,0.07452036440372467,0.07339031994342804,0.0490451380610466,0.977647602558136,0.854331374168396,0.09166715294122696,0.09019289165735245,0.0390082485973835,0.9785698652267456,0.7467392683029175
400,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104,0.057573689906857906,0.04792059693485498,0.35747880540788174,0.9577318161725998,0.7969671839475632,0.08882200048428099,0.07709364779293537,0.26538629049681267,0.9134561475717796,0.7834997587608841,0.06663119119925881,0.05487734223452379,0.2746984364623028,0.9647249354506439,0.6091942839183897,0.08926885004620999,0.07000488793710247,0.19544595445040613,0.9498569928109646,0.8517125658690929,0.07159838080406189,0.07045517861843109,0.02707248367369175,0.9782986044883728,0.8518857955932617,0.08639611303806305,0.08489079028367996,0.0431315116584301,0.9796549677848816,0.7453595995903015
500,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104,0.05453073919285089,0.044989743838086724,0.3980080433934927,0.9591056281328201,0.7985604318976403,0.08612162414235326,0.0744226511989562,0.30579818384546154,0.9145704361627687,0.7866788332192403,0.0636300224424252,0.05184678649002651,0.31420416896284187,0.9650428688751077,0.608498817274593,0.0898714418290183,0.06987023039255291,0.19054734730161726,0.9506005458533764,0.8520742058753967,0.07339051365852356,0.0722760260105133,0.0345323346555233,0.978515625,0.8467312455177307,0.0893629640340805,0.08787126839160919,0.0423177070915699,0.9798719882965088,0.7478854656219482
600,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104,0.053268507737666365,0.04384199979715049,0.4098693344555795,0.9592215698957444,0.7981411507725715,0.0842867029198217,0.07266536931384285,0.319138312606879,0.9155481772602729,0.785271518072992,0.06115481897063975,0.04958947510722111,0.33355832689129833,0.9656519293785095,0.6089284890946353,0.0898671782342717,0.07060598890529945,0.1980126705020666,0.9483695812523365,0.8538868613541126,0.07437358051538467,0.07300938665866852,0.0425618477165699,0.978759765625,0.8561132550239563,0.09220532327890396,0.09035513550043106,0.0740017369389534,0.9800347089767456,0.7558800578117371
700,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104,0.050642028180882336,0.04113951854407787,0.4431679439544678,0.9616519874334335,0.7935557746887207,0.08212304461466254,0.07055452051308919,0.3363717860489521,0.9159302835194569,0.7817331355697704,0.05890470381193566,0.047345702466115636,0.3602451647473675,0.9659576719661929,0.6026959386214895,0.09020834823604673,0.06995863938936964,0.20235677063465118,0.9506113566458225,0.8484736047685146,0.0729401484131813,0.07165218889713287,0.0639919713139534,0.9793294072151184,0.8489456176757812,0.09020281583070755,0.08858920633792877,0.0560980923473835,0.9802517294883728,0.7548744678497314
800,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104,0.05288195657078177,0.04267455139197409,0.42424649842083456,0.9603708004951477,0.7877520242333412,0.08735455080585659,0.07547945070590051,0.3253818736675213,0.9114668144370025,0.7788177661175998,0.0680083613315562,0.05579463812469874,0.33257098780628647,0.9537444497054478,0.6040616059359515,0.09302694292273372,0.07233973918482661,0.18085920182056725,0.9456354007124901,0.8262139782309532,0.07147303223609924,0.07001212984323502,0.0796440988779068,0.9804958701133728,0.8426404595375061,0.08746729791164398,0.08568879216909409,0.06396484375,0.9808485507965088,0.7523984313011169
