split,gradient_pair,batch_count,cosine_mean,cosine_median,cosine_min,cosine_max
test,global_edge,4,0.6550640605426759,0.8673429117863987,-0.07179105569747483,0.9573614742953809
test,global_local,4,0.7081672115403277,0.9695222680036453,-0.09847710075816189,0.992101410912182
test,local_edge,4,0.9201562806953052,0.9120064174946658,0.8842038513348951,0.9724084364569943
train,global_edge,4,0.8783694903535121,0.8761595564893738,0.8629469321642621,0.8982119162710384
train,global_local,4,0.9876238736948618,0.9884360602328714,0.9803315961243859,0.9932917781893184
train,local_edge,4,0.9119774326051107,0.9182721659307296,0.8897463433390114,0.9216190552199723
val,global_edge,4,0.8382323641420102,0.8415859975341802,0.7628178621875028,0.9069395993121774
val,global_local,4,0.9455770444041423,0.9508107452504222,0.8987501211023413,0.9819365660133835
val,local_edge,4,0.9170015842053805,0.9149260494763515,0.9037652066101796,0.9343890312586389
