batch_id,split,pair_index,sample_ids,objective,parameter_group,parameter_numel,active_parameter_numel,active_parameter_tensors,gradient_l2,gradient_rms,gradient_l1,gradient_abs_max,gradient_nonzero_fraction
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,edge_paper,encoder,10796800,10796800,52,0.002722315412167907,8.284969493199732e-07,4.6082653779563145,5.268122913548723e-05,0.9992412566686426
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,edge_paper,input_fusion,262496,262496,3,0.0005164044891533137,1.0079260367370632e-06,0.14981672766974774,1.7972546629607677e-05,1.0
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,edge_paper,output,33,33,2,0.27019321616115066,0.04703460172446428,1.361950494134362,0.08391232043504715,1.0
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,combined_checkpoint,bottleneck,28708864,28708864,13,0.0664851557213873,1.2408425750690777e-05,252.7886772865006,0.000196249398868531,1.0
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,combined_checkpoint,decoder,10970880,10970880,56,0.11046962133569453,3.335201926474681e-05,173.45385137882505,0.003135532373562455,0.9992532959981333
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,combined_checkpoint,encoder,10796800,10796800,52,0.08496996149724484,2.5859367202510245e-05,190.59873194830885,0.0008153339149430394,0.9992412566686426
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,combined_checkpoint,input_fusion,262496,262496,3,0.015639963865559534,3.0526316336967775e-05,5.537068446168082,0.0006025019101798534,1.0
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,combined_checkpoint,output,33,33,2,3.7469067852624214,0.6522527502629816,17.88967754226178,1.2880313396453857,1.0
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,combined_paper,bottleneck,28708864,28708864,13,0.06667231223496181,1.2443355618527431e-05,253.4938547608391,0.00019708261243067682,1.0
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,combined_paper,decoder,10970880,10970880,56,0.1108003778150851,3.345187836029899e-05,173.92027176730508,0.003140069078654051,0.9992532959981333
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,combined_paper,encoder,10796800,10796800,52,0.0852075882722333,2.5931685442077463e-05,191.11541834899282,0.0008178949356079102,0.9992412566686426
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,combined_paper,input_fusion,262496,262496,3,0.01572789209516105,3.069793597591567e-05,5.564902512612185,0.0006053938996046782,1.0
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,combined_paper,output,33,33,2,3.8105930964782413,0.6633391140358966,18.211048202821985,1.308351993560791,1.0
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,global,bottleneck,28708864,28708864,13,0.0705714099429377,1.317106188437203e-05,256.42222379724336,0.0008389101130887866,1.0
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,global,decoder,10970880,10970880,56,0.09411751643411814,2.8415135159393976e-05,156.57399263445788,0.0017532457131892443,0.9992532959981333
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,global,encoder,10796800,10796800,52,0.15787741052356385,4.804768484969447e-05,255.60912173493585,0.002820885507389903,0.9992412566686426
