step,loss,grad_norm,k1/global,k1/local,k1/edge,k2/global,k2/local,k2/edge,k3/global,k3/local,k3/edge
1,0.24729010462760925,0.6289597749710083,0.04739970713853836,0.03400128800421953,0.000797702930867672,0.04739970713853836,0.030647744424641132,0.000797702930867672,0.04739970713853836,0.03804884012788534,0.000797702930867672
2,0.19656071066856384,0.7111274003982544,0.030758661217987537,0.03508124407380819,0.000783712457632646,0.030701340176165104,0.033309116028249264,0.0008184349280782044,0.030645511113107204,0.0336108086630702,0.0008518893446307629
3,0.08897108770906925,1.2051825523376465,0.014647812116891146,0.014424166642129421,0.0005894516798434779,0.01466443669050932,0.01413121772930026,0.0006449502834584564,0.01468205964192748,0.014499642886221409,0.000687349762301892
4,0.18988682329654694,0.4926121234893799,0.04035204462707043,0.022873888723552227,0.0008200804295483977,0.04027910716831684,0.021775715053081512,0.0008646271307952702,0.040208494290709496,0.021812817081809044,0.0009000608115456998
5,0.15154321119189262,0.7430384755134583,0.026951449923217297,0.018950080499053,0.0006337288941722363,0.026875189505517483,0.01907378900796175,0.0006783320277463645,0.026805084198713303,0.03086318727582693,0.0007123741961549968
6,0.1902465596795082,0.43828797340393066,0.04031115211546421,0.022753451950848103,0.000808603479526937,0.040198761969804764,0.02180567942559719,0.0008494927897118032,0.04009134881198406,0.022542295046150684,0.0008857781940605491
7,0.1276284009218216,0.7055317759513855,0.0242121247574687,0.017464424949139357,0.0006600712076760828,0.02404422266408801,0.01781910890713334,0.0007041803328320384,0.023886585608124733,0.018092585261911154,0.0007450941484421492
8,0.22451378405094147,0.39651593565940857,0.055459050461649895,0.018457856494933367,0.000792661972809583,0.05540994554758072,0.01885238289833069,0.0008190751250367612,0.055389510467648506,0.018491612747311592,0.0008416924101766199
9,0.41370169818401337,0.39457178115844727,0.0675731748342514,0.028456032741814852,0.0009511226089671254,0.06745021417737007,0.08971474878489971,0.00098127280944027,0.06733385659754276,0.09023328870534897,0.0010079863131977618
10,0.13843659311532974,0.8803876638412476,0.017870770767331123,0.028633372858166695,0.0009063741308636963,0.01769024319946766,0.028199045918881893,0.0009618382609914988,0.0175531143322587,0.025613599456846714,0.0010082257213070989
11,0.24353668093681335,1.192679762840271,0.038073076866567135,0.04719645157456398,0.0008665043278597295,0.038208222948014736,0.04406462982296944,0.0009073444816749543,0.038382381200790405,0.03489283565431833,0.0009452295489609241
12,0.1778625324368477,0.5183106660842896,0.03442702442407608,0.02225198596715927,0.0006566315714735538,0.03432014398276806,0.028615083545446396,0.0006948033114895225,0.03424324095249176,0.021927853114902973,0.0007257653633132577
13,0.11582562699913979,0.8405991196632385,0.016819359734654427,0.021322146989405155,0.0006490291270893067,0.016782602295279503,0.021148836240172386,0.0006883837340865284,0.016798567958176136,0.02089728508144617,0.0007194131030701101
14,0.22086965292692184,1.008763074874878,0.04445616155862808,0.03219309728592634,0.000621469400357455,0.04422026872634888,0.026125900447368622,0.0006536010769195855,0.04399154707789421,0.02792578563094139,0.0006818310066591948
15,0.2897304892539978,1.640743613243103,0.058396562933921814,0.034596207551658154,0.000921425991691649,0.05804981663823128,0.041974167339503765,0.0009447924967389554,0.05770687572658062,0.036176602356135845,0.0009640406351536512
16,0.2414407730102539,1.1623820066452026,0.04669962264597416,0.03273177519440651,0.0007659906113985926,0.04642358981072903,0.034323925152421,0.0007873441209085286,0.046150801703333855,0.032752545550465584,0.0008051665499806404
17,0.21896731108427048,0.45317602157592773,0.040681980550289154,0.030703884549438953,0.0008144319581333548,0.04050743021070957,0.03361961245536804,0.0008493159839417785,0.04034886695444584,0.03056293912231922,0.0008788444683887064
18,0.13523583859205246,2.0080959796905518,0.02035980112850666,0.024113657884299755,0.0007987238932400942,0.02062729373574257,0.0218993928283453,0.0008424913976341486,0.021015542559325695,0.0246987110003829,0.0008802209631539881
19,0.2175251990556717,1.272193193435669,0.04655952751636505,0.019221939146518707,0.000729388149920851,0.04669361747801304,0.021852750331163406,0.0007752368983346969,0.04685661569237709,0.03401759173721075,0.0008185321639757603
20,0.14796805754303932,0.5062843561172485,0.030389091931283474,0.018776644952595234,0.0007407852972391993,0.030133881606161594,0.017571033909916878,0.0007943881500978023,0.02989897597581148,0.01882399059832096,0.000839260988868773
21,0.14003165811300278,0.31440839171409607,0.021855096332728863,0.024892336688935757,0.0008342392975464463,0.021556501276791096,0.025162598118185997,0.0008821188530419022,0.021402291022241116,0.022525914944708347,0.0009205655078403652
22,0.15626760199666023,0.6914303302764893,0.023483061231672764,0.027657561004161835,0.0006951063987798989,0.023268713615834713,0.027423899620771408,0.0007372136460617185,0.023093344643712044,0.02913515269756317,0.0007735441613476723
