id,split,scene,frame,k0_point_rel,k0_depth_rel,k0_depth_delta_1.01,k0_depth_delta_1.25,k0_alignment_scale,k0_alignment_z_shift,k0_boundary_f1,k1_point_rel,k1_depth_rel,k1_depth_delta_1.01,k1_depth_delta_1.25,k1_alignment_scale,k1_alignment_z_shift,k1_boundary_f1,k3_point_rel,k3_depth_rel,k3_depth_delta_1.01,k3_depth_delta_1.25,k3_alignment_scale,k3_alignment_z_shift,k3_boundary_f1,k5_point_rel,k5_depth_rel,k5_depth_delta_1.01,k5_depth_delta_1.25,k5_alignment_scale,k5_alignment_z_shift,k5_boundary_f1,k0_crop_point_rel,k0_crop_depth_rel,k0_crop_depth_delta_1.01,k0_crop_depth_delta_1.25,k0_crop_boundary_f1,k0_structure_point_rel,k0_structure_depth_rel,k0_structure_depth_delta_1.01,k0_structure_depth_delta_1.25,k0_structure_boundary_f1,k1_crop_point_rel,k1_crop_depth_rel,k1_crop_depth_delta_1.01,k1_crop_depth_delta_1.25,k1_crop_boundary_f1,k1_structure_point_rel,k1_structure_depth_rel,k1_structure_depth_delta_1.01,k1_structure_depth_delta_1.25,k1_structure_boundary_f1,k3_crop_point_rel,k3_crop_depth_rel,k3_crop_depth_delta_1.01,k3_crop_depth_delta_1.25,k3_crop_boundary_f1,k3_structure_point_rel,k3_structure_depth_rel,k3_structure_depth_delta_1.01,k3_structure_depth_delta_1.25,k3_structure_boundary_f1,k5_crop_point_rel,k5_crop_depth_rel,k5_crop_depth_delta_1.01,k5_crop_depth_delta_1.25,k5_crop_boundary_f1,k5_structure_point_rel,k5_structure_depth_rel,k5_structure_depth_delta_1.01,k5_structure_depth_delta_1.25,k5_structure_boundary_f1
ai_001_001_cam_00_frame.0000,train,ai_001_001,0,0.016292376443743706,0.014411874115467072,0.5004781484603882,0.9998830556869507,2.1901514530181885,0.07334637641906738,0.847218930721283,0.01619657129049301,0.014302728697657585,0.4963175654411316,0.9998830556869507,2.1983373165130615,0.07501745223999023,0.8474997282028198,0.016054261475801468,0.014135470613837242,0.4979095458984375,0.9998881220817566,2.21506929397583,0.07798266410827637,0.8481903672218323,0.015964388847351074,0.014042602851986885,0.5042673945426941,0.9998881220817566,2.23252272605896,0.07926750183105469,0.8488273620605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0014,train,ai_001_001,14,0.008554307743906975,0.007294944953173399,0.7862600088119507,0.9990031123161316,1.9362505674362183,0.023897647857666016,0.876125693321228,0.008201228454709053,0.006911333650350571,0.8010457754135132,0.9990183711051941,1.9424235820770264,0.02419579029083252,0.8769122362136841,0.007818748243153095,0.006449755281209946,0.8313853144645691,0.9990336298942566,1.954865574836731,0.024122953414916992,0.8792555928230286,0.007897350937128067,0.0064444877207279205,0.846282958984375,0.9990438222885132,1.9663795232772827,0.024876952171325684,0.881287693977356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0028,train,ai_001_001,28,0.008584722876548767,0.00731296231970191,0.7707977294921875,0.9998677968978882,2.083259344100952,0.08303523063659668,0.919208824634552,0.0088958740234375,0.007609069347381592,0.7537740468978882,0.9998677968978882,2.090599536895752,0.08267378807067871,0.9194493293762207,0.00959374476224184,0.00827876478433609,0.7268728017807007,0.9998677968978882,2.105546474456787,0.08229959011077881,0.919810950756073,0.010352224111557007,0.009012747555971146,0.6945546865463257,0.9998677968978882,2.1209874153137207,0.08153963088989258,0.9199343323707581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0043,train,ai_001_001,43,0.00609574606642127,0.005102953407913446,0.90185546875,0.9999135732650757,1.8138383626937866,0.05115962028503418,0.9012451171875,0.006074813660234213,0.0050872573629021645,0.8985341787338257,0.9999135732650757,1.8206597566604614,0.05091989040374756,0.9013704657554626,0.0062718465924263,0.005292091052979231,0.8828989863395691,0.9999135732650757,1.834505558013916,0.050292015075683594,0.9031151533126831,0.006734788417816162,0.0057403575628995895,0.8385009765625,0.9999135732650757,1.8488067388534546,0.04889941215515137,0.9027162790298462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0056,train,ai_001_001,56,0.00755671039223671,0.00661602383479476,0.783233642578125,0.99981689453125,1.5998377799987793,0.05730628967285156,0.8799155354499817,0.00741359731182456,0.006478991359472275,0.7837575674057007,0.99981689453125,1.606050729751587,0.057585716247558594,0.8802579641342163,0.0072492859326303005,0.0063074324280023575,0.7881368398666382,0.99981689453125,1.6185550689697266,0.057904958724975586,0.8788033127784729,0.007234229706227779,0.006284305825829506,0.8053792715072632,0.99981689453125,1.631306529045105,0.05709671974182129,0.8831492066383362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0071,train,ai_001_001,71,0.015155430883169174,0.011161481961607933,0.5724945068359375,0.999664306640625,1.5511069297790527,0.08733296394348145,0.8927531838417053,0.015116846188902855,0.011197265237569809,0.566070556640625,0.9996592402458191,1.5572209358215332,0.08672213554382324,0.8929336071014404,0.015088885091245174,0.011245163157582283,0.5580037832260132,0.9996592402458191,1.5690730810165405,0.08635759353637695,0.8928368091583252,0.015117429196834564,0.011350579559803009,0.5417887568473816,0.9996592402458191,1.5810599327087402,0.08596253395080566,0.8943603038787842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0085,train,ai_001_001,85,0.010610509663820267,0.009452017024159431,0.7478129267692566,0.9995880126953125,2.0186612606048584,0.06897640228271484,0.9083154201507568,0.010468162596225739,0.009291001595556736,0.7525736689567566,0.9995880126953125,2.026094436645508,0.06864786148071289,0.9080013036727905,0.010342087596654892,0.009112377651035786,0.7545115351676941,0.9995880126953125,2.0412814617156982,0.06805896759033203,0.9075878262519836,0.01047920249402523,0.009205005131661892,0.7474517822265625,0.9995829463005066,2.056727409362793,0.0676734447479248,0.9080101847648621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_001_001_cam_00_frame.0099,train,ai_001_001,99,0.019481360912322998,0.013809177093207836,0.676849365234375,0.9956563711166382,2.1113617420196533,-0.057741641998291016,0.9259940385818481,0.019592197611927986,0.013869132846593857,0.6731923818588257,0.9955393671989441,2.1190743446350098,-0.05816650390625,0.9264563322067261,0.019962534308433533,0.014168595895171165,0.66455078125,0.9952545166015625,2.1342573165893555,-0.05893540382385254,0.9268353581428528,0.02040977030992508,0.014600446447730064,0.6569163203239441,0.9948832392692566,2.1494500637054443,-0.058957815170288086,0.9270020127296448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_018_003_cam_00_frame.0000,train,ai_018_003,0,0.019213352352380753,0.01708192005753517,0.460540771484375,0.9952494502067566,3.161609649658203,0.07919073104858398,0.8928279280662537,0.019145315513014793,0.01700274646282196,0.4605306088924408,0.9952494502067566,3.1735429763793945,0.07909584045410156,0.8934506773948669,0.01905158907175064,0.01689527928829193,0.4571990966796875,0.9952494502067566,3.197025775909424,0.07912349700927734,0.893721342086792,0.018979057669639587,0.016814813017845154,0.4538676142692566,0.9952494502067566,3.220843553543091,0.07970952987670898,0.8949518799781799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai_018_003_cam_00_frame.0014,train,ai_018_003,14,0.019509922713041306,0.01647903397679329,0.509613037109375,0.9960784912109375,3.1846835613250732,0.12234997749328613,0.8299773931503296,0.019348269328475,0.016377678140997887,0.5071157217025757,0.9960784912109375,3.1965255737304688,0.1213984489440918,0.8288173675537109,0.018994789570569992,0.0161912702023983,0.5026906728744507,0.9960734248161316,3.2203445434570312,0.11819720268249512,0.8296676278114319,0.018643928691744804,0.016051536425948143,0.4996897578239441,0.9960581660270691,3.2448410987854004,0.11387693881988525,0.8308954238891602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
