step,train/k0_point_rel,train/k0_depth_rel,train/k0_depth_delta_1.01,train/k0_depth_delta_1.25,train/k0_boundary_f1,train/k0_crop_point_rel,train/k0_crop_depth_rel,train/k0_crop_depth_delta_1.01,train/k0_crop_depth_delta_1.25,train/k0_crop_boundary_f1,train/k0_structure_point_rel,train/k0_structure_depth_rel,train/k0_structure_depth_delta_1.01,train/k0_structure_depth_delta_1.25,train/k0_structure_boundary_f1,val/k0_point_rel,val/k0_depth_rel,val/k0_depth_delta_1.01,val/k0_depth_delta_1.25,val/k0_boundary_f1,val/k0_crop_point_rel,val/k0_crop_depth_rel,val/k0_crop_depth_delta_1.01,val/k0_crop_depth_delta_1.25,val/k0_crop_boundary_f1,val/k0_structure_point_rel,val/k0_structure_depth_rel,val/k0_structure_depth_delta_1.01,val/k0_structure_depth_delta_1.25,val/k0_structure_boundary_f1,train/k3_point_rel,train/k3_depth_rel,train/k3_depth_delta_1.01,train/k3_depth_delta_1.25,train/k3_boundary_f1,train/k3_crop_point_rel,train/k3_crop_depth_rel,train/k3_crop_depth_delta_1.01,train/k3_crop_depth_delta_1.25,train/k3_crop_boundary_f1,train/k3_structure_point_rel,train/k3_structure_depth_rel,train/k3_structure_depth_delta_1.01,train/k3_structure_depth_delta_1.25,train/k3_structure_boundary_f1,val/k3_point_rel,val/k3_depth_rel,val/k3_depth_delta_1.01,val/k3_depth_delta_1.25,val/k3_boundary_f1,val/k3_crop_point_rel,val/k3_crop_depth_rel,val/k3_crop_depth_delta_1.01,val/k3_crop_depth_delta_1.25,val/k3_crop_boundary_f1,val/k3_structure_point_rel,val/k3_structure_depth_rel,val/k3_structure_depth_delta_1.01,val/k3_structure_depth_delta_1.25,val/k3_structure_boundary_f1
0,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104
100,0.05733534713741392,0.04834038131404668,0.3395641637593508,0.9588372427225113,0.7940571430325508,0.08877213810623255,0.0775785315957553,0.24606052768539707,0.9140559783521688,0.7780645675254318,0.06611762568354607,0.05492874535398101,0.25592961144536946,0.9670752568064995,0.6071197528321788,0.08936178329167888,0.07040842855349183,0.1918327366001904,0.9487615376710892,0.8493214882910252,0.06902328133583069,0.0679706558585167,0.03057183139026165,0.9813639521598816,0.8476535081863403,0.08469206094741821,0.08330819755792618,0.0447048619389534,0.982042133808136,0.7518100142478943,0.057276060036383566,0.04827421121764928,0.34091243881732225,0.9588434994220734,0.7948470908403397,0.08874755604016893,0.0775524320889194,0.24636818050354156,0.9140867624642715,0.7785552734473966,0.06609159214246385,0.05490050598416688,0.2561808161960282,0.9670576970532255,0.6077454333316605,0.08939299243502319,0.0704280374920927,0.1905818183440715,0.948811125010252,0.850373774766922,0.0688520148396492,0.06780616194009781,0.030029296875,0.9813368320465088,0.8495047092437744,0.08441314101219177,0.08304063230752945,0.0437282994389534,0.98193359375,0.7515560984611511
200,0.05641333881765604,0.04762599868234247,0.347844322565943,0.9590708297491074,0.7983034446835517,0.08826934026097352,0.07721897856033635,0.24979131559858908,0.9142439860217976,0.7805643717073044,0.0651696662787559,0.05413402681994551,0.25851433441693067,0.967534250808212,0.6081646332200968,0.08897608995903283,0.06975790415890515,0.18778780638240278,0.9505026265978813,0.8530984371900558,0.06749134510755539,0.06645818054676056,0.0366482213139534,0.9811740517616272,0.859340250492096,0.0824335590004921,0.08108846098184586,0.0454644113779068,0.9818793535232544,0.7554616928100586,0.05628309291321784,0.047485140045173464,0.35044480560347435,0.9591265779733658,0.7995426288247108,0.08834463053927669,0.07729161989365546,0.2495850448689933,0.9142788412435999,0.781832109363574,0.06525113280721993,0.05419792863979654,0.25960015209462,0.9674509550040623,0.6095499458178034,0.0891595205757767,0.0698453460354358,0.18491978314705193,0.9505480900406837,0.8546941392123699,0.06752490997314453,0.06651633977890015,0.0372992642223835,0.9812825322151184,0.8598780035972595,0.08245871216058731,0.0811537504196167,0.0453016497194767,0.9817165732383728,0.7535701990127563
